1910 4719
30/38 30.0 38.0
33/8 33.0 8.0
27/24 27.0 24.0
22/5 22.0 5.0
26/23 26.0 23.0
21/44 21.0 44.0
25/16 25.0 16.0
20/22 20.0 22.0
34/29 34.0 29.0
24/31 24.0 31.0
33/43 33.0 43.0
40/4 40.0 4.0
34/9 34.0 9.0
25/9 25.0 9.0
4/38 4.0 38.0
3/42 3.0 42.0
34/21 34.0 21.0
35/21 35.0 21.0
44/34 44.0 34.0
29/45 29.0 45.0
37/26 37.0 26.0
7/11 7.0 11.0
17/9 17.0 9.0
32/24 32.0 24.0
1/14 1.0 14.0
26/43 26.0 43.0
32/43 32.0 43.0
28/14 28.0 14.0
5/23 5.0 23.0
37/34 37.0 34.0
38/2 38.0 2.0
38/10 38.0 10.0
25/29 25.0 29.0
43/1 43.0 1.0
36/31 36.0 31.0
25/15 25.0 15.0
33/40 33.0 40.0
11/12 11.0 12.0
14/8 14.0 8.0
27/15 27.0 15.0
36/28 36.0 28.0
18/15 18.0 15.0
43/31 43.0 31.0
23/7 23.0 7.0
40/35 40.0 35.0
4/24 4.0 24.0
44/2 44.0 2.0
38/18 38.0 18.0
16/27 16.0 27.0
31/20 31.0 20.0
17/29 17.0 29.0
20/3 20.0 3.0
11/45 11.0 45.0
29/11 29.0 11.0
18/12 18.0 12.0
35/20 35.0 20.0
6/8 6.0 8.0
28/7 28.0 7.0
3/10 3.0 10.0
29/42 29.0 42.0
13/15 13.0 15.0
29/20 29.0 20.0
25/42 25.0 42.0
15/3 15.0 3.0
31/11 31.0 11.0
13/21 13.0 21.0
31/10 31.0 10.0
36/3 36.0 3.0
22/16 22.0 16.0
22/37 22.0 37.0
18/13 18.0 13.0
23/18 23.0 18.0
7/6 7.0 6.0
29/10 29.0 10.0
43/33 43.0 33.0
8/43 8.0 43.0
8/5 8.0 5.0
32/12 32.0 12.0
8/10 8.0 10.0
28/1 28.0 1.0
34/3 34.0 3.0
15/32 15.0 32.0
21/8 21.0 8.0
28/41 28.0 41.0
30/37 30.0 37.0
12/15 12.0 15.0
12/45 12.0 45.0
13/4 13.0 4.0
32/6 32.0 6.0
6/24 6.0 24.0
22/43 22.0 43.0
19/12 19.0 12.0
22/30 22.0 30.0
34/10 34.0 10.0
42/26 42.0 26.0
31/40 31.0 40.0
40/16 40.0 16.0
14/45 14.0 45.0
22/22 22.0 22.0
30/11 30.0 11.0
41/45 41.0 45.0
42/11 42.0 11.0
43/11 43.0 11.0
34/33 34.0 33.0
21/18 21.0 18.0
31/45 31.0 45.0
23/43 23.0 43.0
1/5 1.0 5.0
11/43 11.0 43.0
35/2 35.0 2.0
4/6 4.0 6.0
12/41 12.0 41.0
15/22 15.0 22.0
19/20 19.0 20.0
9/30 9.0 30.0
45/23 45.0 23.0
3/11 3.0 11.0
10/25 10.0 25.0
27/39 27.0 39.0
44/30 44.0 30.0
22/39 22.0 39.0
42/31 42.0 31.0
24/32 24.0 32.0
19/43 19.0 43.0
30/22 30.0 22.0
2/14 2.0 14.0
14/29 14.0 29.0
24/29 24.0 29.0
4/1 4.0 1.0
3/19 3.0 19.0
8/4 8.0 4.0
36/24 36.0 24.0
40/8 40.0 8.0
43/13 43.0 13.0
6/1 6.0 1.0
21/22 21.0 22.0
17/30 17.0 30.0
26/38 26.0 38.0
35/36 35.0 36.0
25/26 25.0 26.0
19/28 19.0 28.0
43/3 43.0 3.0
23/10 23.0 10.0
9/5 9.0 5.0
22/44 22.0 44.0
6/26 6.0 26.0
44/44 44.0 44.0
6/13 6.0 13.0
19/7 19.0 7.0
4/17 4.0 17.0
9/26 9.0 26.0
4/44 4.0 44.0
33/20 33.0 20.0
13/25 13.0 25.0
24/9 24.0 9.0
38/11 38.0 11.0
14/6 14.0 6.0
37/2 37.0 2.0
15/45 15.0 45.0
35/13 35.0 13.0
9/15 9.0 15.0
24/42 24.0 42.0
29/44 29.0 44.0
9/36 9.0 36.0
36/19 36.0 19.0
11/33 11.0 33.0
23/23 23.0 23.0
5/1 5.0 1.0
9/22 9.0 22.0
14/16 14.0 16.0
45/5 45.0 5.0
25/20 25.0 20.0
29/35 29.0 35.0
44/7 44.0 7.0
16/10 16.0 10.0
23/42 23.0 42.0
20/4 20.0 4.0
28/32 28.0 32.0
6/6 6.0 6.0
9/11 9.0 11.0
13/37 13.0 37.0
19/42 19.0 42.0
27/26 27.0 26.0
32/19 32.0 19.0
2/37 2.0 37.0
5/44 5.0 44.0
26/22 26.0 22.0
26/14 26.0 14.0
9/3 9.0 3.0
27/8 27.0 8.0
30/32 30.0 32.0
40/20 40.0 20.0
45/42 45.0 42.0
22/36 22.0 36.0
40/22 40.0 22.0
17/18 17.0 18.0
9/21 9.0 21.0
31/28 31.0 28.0
42/28 42.0 28.0
12/20 12.0 20.0
37/27 37.0 27.0
28/13 28.0 13.0
18/5 18.0 5.0
18/44 18.0 44.0
18/26 18.0 26.0
35/31 35.0 31.0
39/43 39.0 43.0
22/11 22.0 11.0
33/45 33.0 45.0
22/23 22.0 23.0
24/23 24.0 23.0
42/39 42.0 39.0
37/29 37.0 29.0
39/5 39.0 5.0
13/6 13.0 6.0
33/33 33.0 33.0
19/39 19.0 39.0
9/29 9.0 29.0
23/2 23.0 2.0
17/2 17.0 2.0
35/17 35.0 17.0
