2301 4309
3/19 3.0 19.0
9/18 9.0 18.0
12/32 12.0 32.0
50/45 50.0 45.0
15/8 15.0 8.0
28/47 28.0 47.0
11/46 11.0 46.0
13/14 13.0 14.0
20/25 20.0 25.0
49/35 49.0 35.0
31/34 31.0 34.0
27/25 27.0 25.0
26/31 26.0 31.0
38/46 38.0 46.0
35/32 35.0 32.0
17/40 17.0 40.0
3/42 3.0 42.0
36/47 36.0 47.0
37/39 37.0 39.0
46/22 46.0 22.0
10/39 10.0 39.0
18/13 18.0 13.0
9/29 9.0 29.0
6/45 6.0 45.0
27/33 27.0 33.0
50/14 50.0 14.0
16/8 16.0 8.0
4/36 4.0 36.0
17/31 17.0 31.0
34/8 34.0 8.0
40/47 40.0 47.0
40/4 40.0 4.0
1/34 1.0 34.0
9/24 9.0 24.0
27/14 27.0 14.0
21/10 21.0 10.0
19/27 19.0 27.0
2/9 2.0 9.0
47/30 47.0 30.0
22/41 22.0 41.0
47/20 47.0 20.0
49/46 49.0 46.0
30/22 30.0 22.0
40/6 40.0 6.0
45/21 45.0 21.0
3/28 3.0 28.0
24/45 24.0 45.0
47/39 47.0 39.0
18/41 18.0 41.0
36/48 36.0 48.0
50/50 50.0 50.0
11/18 11.0 18.0
20/31 20.0 31.0
32/21 32.0 21.0
13/18 13.0 18.0
29/15 29.0 15.0
48/31 48.0 31.0
18/49 18.0 49.0
44/30 44.0 30.0
15/33 15.0 33.0
7/29 7.0 29.0
21/30 21.0 30.0
23/39 23.0 39.0
21/39 21.0 39.0
33/35 33.0 35.0
6/15 6.0 15.0
27/47 27.0 47.0
50/37 50.0 37.0
7/8 7.0 8.0
45/25 45.0 25.0
44/37 44.0 37.0
8/21 8.0 21.0
34/7 34.0 7.0
9/2 9.0 2.0
16/4 16.0 4.0
27/20 27.0 20.0
14/16 14.0 16.0
35/19 35.0 19.0
8/18 8.0 18.0
24/16 24.0 16.0
15/42 15.0 42.0
17/43 17.0 43.0
50/36 50.0 36.0
16/13 16.0 13.0
33/18 33.0 18.0
47/22 47.0 22.0
50/9 50.0 9.0
7/17 7.0 17.0
21/27 21.0 27.0
45/39 45.0 39.0
34/29 34.0 29.0
24/10 24.0 10.0
28/5 28.0 5.0
48/21 48.0 21.0
12/47 12.0 47.0
20/32 20.0 32.0
39/29 39.0 29.0
33/11 33.0 11.0
45/4 45.0 4.0
46/47 46.0 47.0
17/13 17.0 13.0
46/38 46.0 38.0
13/47 13.0 47.0
30/31 30.0 31.0
43/48 43.0 48.0
31/46 31.0 46.0
3/49 3.0 49.0
17/26 17.0 26.0
41/47 41.0 47.0
41/19 41.0 19.0
11/2 11.0 2.0
6/1 6.0 1.0
18/18 18.0 18.0
14/17 14.0 17.0
22/22 22.0 22.0
4/17 4.0 17.0
19/23 19.0 23.0
51/18 51.0 18.0
21/1 21.0 1.0
34/30 34.0 30.0
45/9 45.0 9.0
8/32 8.0 32.0
16/49 16.0 49.0
25/19 25.0 19.0
33/46 33.0 46.0
45/10 45.0 10.0
2/34 2.0 34.0
11/25 11.0 25.0
24/35 24.0 35.0
36/44 36.0 44.0
5/43 5.0 43.0
42/42 42.0 42.0
36/6 36.0 6.0
40/40 40.0 40.0
5/24 5.0 24.0
35/25 35.0 25.0
44/17 44.0 17.0
13/36 13.0 36.0
35/30 35.0 30.0
36/40 36.0 40.0
35/22 35.0 22.0
21/40 21.0 40.0
36/25 36.0 25.0
20/43 20.0 43.0
16/11 16.0 11.0
3/50 3.0 50.0
9/50 9.0 50.0
9/47 9.0 47.0
22/17 22.0 17.0
48/47 48.0 47.0
14/50 14.0 50.0
44/10 44.0 10.0
33/13 33.0 13.0
12/50 12.0 50.0
20/7 20.0 7.0
36/9 36.0 9.0
4/39 4.0 39.0
27/23 27.0 23.0
47/7 47.0 7.0
10/40 10.0 40.0
41/24 41.0 24.0
10/30 10.0 30.0
22/33 22.0 33.0
7/50 7.0 50.0
9/5 9.0 5.0
13/22 13.0 22.0
29/50 29.0 50.0
24/37 24.0 37.0
16/51 16.0 51.0
33/39 33.0 39.0
22/13 22.0 13.0
44/1 44.0 1.0
49/41 49.0 41.0
31/38 31.0 38.0
34/21 34.0 21.0
23/11 23.0 11.0
40/50 40.0 50.0
39/37 39.0 37.0
39/16 39.0 16.0
1/50 1.0 50.0
11/38 11.0 38.0
29/5 29.0 5.0
41/36 41.0 36.0
43/8 43.0 8.0
2/41 2.0 41.0
27/13 27.0 13.0
19/24 19.0 24.0
36/31 36.0 31.0
43/39 43.0 39.0
15/19 15.0 19.0
20/46 20.0 46.0
38/21 38.0 21.0
33/17 33.0 17.0
41/48 41.0 48.0
42/29 42.0 29.0
43/45 43.0 45.0
10/49 10.0 49.0
7/7 7.0 7.0
35/14 35.0 14.0
41/35 41.0 35.0
39/39 39.0 39.0
14/2 14.0 2.0
21/19 21.0 19.0
23/43 23.0 43.0
26/14 26.0 14.0
39/3 39.0 3.0
3/33 3.0 33.0
