2277 5897
28/49 28.0 49.0
30/4 30.0 4.0
31/14 31.0 14.0
50/42 50.0 42.0
38/28 38.0 28.0
50/24 50.0 24.0
42/5 42.0 5.0
10/9 10.0 9.0
24/23 24.0 23.0
26/48 26.0 48.0
28/20 28.0 20.0
39/12 39.0 12.0
28/1 28.0 1.0
19/17 19.0 17.0
32/35 32.0 35.0
4/13 4.0 13.0
8/20 8.0 20.0
47/14 47.0 14.0
20/21 20.0 21.0
19/14 19.0 14.0
33/28 33.0 28.0
20/6 20.0 6.0
42/28 42.0 28.0
6/50 6.0 50.0
45/40 45.0 40.0
9/13 9.0 13.0
17/31 17.0 31.0
18/12 18.0 12.0
26/26 26.0 26.0
34/35 34.0 35.0
12/4 12.0 4.0
13/47 13.0 47.0
44/31 44.0 31.0
50/23 50.0 23.0
18/25 18.0 25.0
32/6 32.0 6.0
14/7 14.0 7.0
17/45 17.0 45.0
38/46 38.0 46.0
21/13 21.0 13.0
14/14 14.0 14.0
17/41 17.0 41.0
23/34 23.0 34.0
28/3 28.0 3.0
23/50 23.0 50.0
48/24 48.0 24.0
49/47 49.0 47.0
31/21 31.0 21.0
16/30 16.0 30.0
9/44 9.0 44.0
42/31 42.0 31.0
23/4 23.0 4.0
1/27 1.0 27.0
32/46 32.0 46.0
37/45 37.0 45.0
46/20 46.0 20.0
45/20 45.0 20.0
37/33 37.0 33.0
49/36 49.0 36.0
12/10 12.0 10.0
1/4 1.0 4.0
10/21 10.0 21.0
24/6 24.0 6.0
47/38 47.0 38.0
10/22 10.0 22.0
11/45 11.0 45.0
26/20 26.0 20.0
37/48 37.0 48.0
37/13 37.0 13.0
4/30 4.0 30.0
6/34 6.0 34.0
7/18 7.0 18.0
14/6 14.0 6.0
10/27 10.0 27.0
20/47 20.0 47.0
2/19 2.0 19.0
12/43 12.0 43.0
10/16 10.0 16.0
33/19 33.0 19.0
18/45 18.0 45.0
50/43 50.0 43.0
5/20 5.0 20.0
21/3 21.0 3.0
21/18 21.0 18.0
3/11 3.0 11.0
22/49 22.0 49.0
20/8 20.0 8.0
39/28 39.0 28.0
24/12 24.0 12.0
34/34 34.0 34.0
35/2 35.0 2.0
32/25 32.0 25.0
40/48 40.0 48.0
21/39 21.0 39.0
19/22 19.0 22.0
40/8 40.0 8.0
46/50 46.0 50.0
30/29 30.0 29.0
39/35 39.0 35.0
36/44 36.0 44.0
50/32 50.0 32.0
18/37 18.0 37.0
35/34 35.0 34.0
36/48 36.0 48.0
2/37 2.0 37.0
27/14 27.0 14.0
32/9 32.0 9.0
39/2 39.0 2.0
26/19 26.0 19.0
21/4 21.0 4.0
33/37 33.0 37.0
48/8 48.0 8.0
30/6 30.0 6.0
49/35 49.0 35.0
39/47 39.0 47.0
16/34 16.0 34.0
22/51 22.0 51.0
9/32 9.0 32.0
30/43 30.0 43.0
31/29 31.0 29.0
13/44 13.0 44.0
47/7 47.0 7.0
14/8 14.0 8.0
41/21 41.0 21.0
23/26 23.0 26.0
31/34 31.0 34.0
46/25 46.0 25.0
40/51 40.0 51.0
23/22 23.0 22.0
36/45 36.0 45.0
20/34 20.0 34.0
35/24 35.0 24.0
33/34 33.0 34.0
32/36 32.0 36.0
35/7 35.0 7.0
11/23 11.0 23.0
49/16 49.0 16.0
7/24 7.0 24.0
27/1 27.0 1.0
44/10 44.0 10.0
10/33 10.0 33.0
22/45 22.0 45.0
46/31 46.0 31.0
7/45 7.0 45.0
31/3 31.0 3.0
13/8 13.0 8.0
16/37 16.0 37.0
1/42 1.0 42.0
15/48 15.0 48.0
40/34 40.0 34.0
47/43 47.0 43.0
42/8 42.0 8.0
27/42 27.0 42.0
51/31 51.0 31.0
29/3 29.0 3.0
34/9 34.0 9.0
43/42 43.0 42.0
32/4 32.0 4.0
22/6 22.0 6.0
34/1 34.0 1.0
27/51 27.0 51.0
6/37 6.0 37.0
3/16 3.0 16.0
23/51 23.0 51.0
35/14 35.0 14.0
15/1 15.0 1.0
10/8 10.0 8.0
11/20 11.0 20.0
5/32 5.0 32.0
21/17 21.0 17.0
21/15 21.0 15.0
30/21 30.0 21.0
48/20 48.0 20.0
43/11 43.0 11.0
2/9 2.0 9.0
15/28 15.0 28.0
24/25 24.0 25.0
50/35 50.0 35.0
37/38 37.0 38.0
17/6 17.0 6.0
11/25 11.0 25.0
38/11 38.0 11.0
46/30 46.0 30.0
22/33 22.0 33.0
24/19 24.0 19.0
46/23 46.0 23.0
30/49 30.0 49.0
1/45 1.0 45.0
13/45 13.0 45.0
10/30 10.0 30.0
48/31 48.0 31.0
42/11 42.0 11.0
45/42 45.0 42.0
37/5 37.0 5.0
40/33 40.0 33.0
18/41 18.0 41.0
44/29 44.0 29.0
20/20 20.0 20.0
29/6 29.0 6.0
34/28 34.0 28.0
1/50 1.0 50.0
3/29 3.0 29.0
46/15 46.0 15.0
25/28 25.0 28.0
15/50 15.0 50.0
12/40 12.0 40.0
20/44 20.0 44.0
25/45 25.0 45.0
41/29 41.0 29.0
2/28 2.0 28.0
27/26 27.0 26.0
16/47 16.0 47.0
15/23 15.0 23.0
27/43 27.0 43.0
29/11 29.0 11.0
28/48 28.0 48.0
16/46 16.0 46.0
20/50 20.0 50.0
36/29 36.0 29.0
8/29 8.0 29.0
15/39 15.0 39.0
27/47 27.0 47.0
42/27 42.0 27.0
39/14 39.0 14.0
47/13 47.0 13.0
39/9 39.0 9.0
3/31 3.0 31.0
48/32 48.0 32.0
29/24 29.0 24.0
37/18 37.0 18.0
22/20 22.0 20.0
15/16 15.0 16.0
9/50 9.0 50.0
21/46 21.0 46.0
9/49 9.0 49.0
51/26 51.0 26.0
11/12 11.0 12.0
44/20 44.0 20.0
6/41 6.0 41.0
48/12 48.0 12.0
49/25 49.0 25.0
21/34 21.0 34.0
7/47 7.0 47.0
11/35 11.0 35.0
34/17 34.0 17.0
36/36 36.0 36.0
23/9 23.0 9.0
21/49 21.0 49.0
27/9 27.0 9.0
32/30 32.0 30.0
1/19 1.0 19.0
38/39 38.0 39.0
21/31 21.0 31.0
34/48 34.0 48.0
37/12 37.0 12.0
49/2 49.0 2.0
3/22 3.0 22.0
22/18 22.0 18.0
1/21 1.0 21.0
29/8 29.0 8.0
16/39 16.0 39.0
25/47 25.0 47.0
34/41 34.0 41.0
4/48 4.0 48.0
40/15 40.0 15.0
36/22 36.0 22.0
21/16 21.0 16.0
32/47 32.0 47.0
5/8 5.0 8.0
12/18 12.0 18.0
41/5 41.0 5.0
1/6 1.0 6.0
27/7 27.0 7.0
1/20 1.0 20.0
6/46 6.0 46.0
27/13 27.0 13.0
28/42 28.0 42.0
