852 2265
7/6 7.0 6.0
16/6 16.0 6.0
26/8 26.0 8.0
21/4 21.0 4.0
28/25 28.0 25.0
19/6 19.0 6.0
5/4 5.0 4.0
24/1 24.0 1.0
14/3 14.0 3.0
28/9 28.0 9.0
10/16 10.0 16.0
29/3 29.0 3.0
14/16 14.0 16.0
23/16 23.0 16.0
26/31 26.0 31.0
18/21 18.0 21.0
29/19 29.0 19.0
16/7 16.0 7.0
8/28 8.0 28.0
5/7 5.0 7.0
2/17 2.0 17.0
16/4 16.0 4.0
16/29 16.0 29.0
1/27 1.0 27.0
25/7 25.0 7.0
30/2 30.0 2.0
1/23 1.0 23.0
6/28 6.0 28.0
9/14 9.0 14.0
25/31 25.0 31.0
19/10 19.0 10.0
25/9 25.0 9.0
5/11 5.0 11.0
1/13 1.0 13.0
13/18 13.0 18.0
22/21 22.0 21.0
16/15 16.0 15.0
12/12 12.0 12.0
23/9 23.0 9.0
20/8 20.0 8.0
10/6 10.0 6.0
26/20 26.0 20.0
1/30 1.0 30.0
5/6 5.0 6.0
8/27 8.0 27.0
19/23 19.0 23.0
20/4 20.0 4.0
28/17 28.0 17.0
11/24 11.0 24.0
23/23 23.0 23.0
19/3 19.0 3.0
1/16 1.0 16.0
7/14 7.0 14.0
9/25 9.0 25.0
17/20 17.0 20.0
18/18 18.0 18.0
7/12 7.0 12.0
24/18 24.0 18.0
20/29 20.0 29.0
23/1 23.0 1.0
1/18 1.0 18.0
9/29 9.0 29.0
23/29 23.0 29.0
20/26 20.0 26.0
12/22 12.0 22.0
11/29 11.0 29.0
17/1 17.0 1.0
21/14 21.0 14.0
7/9 7.0 9.0
13/9 13.0 9.0
21/15 21.0 15.0
1/9 1.0 9.0
14/4 14.0 4.0
21/11 21.0 11.0
31/26 31.0 26.0
22/18 22.0 18.0
22/17 22.0 17.0
24/5 24.0 5.0
9/26 9.0 26.0
2/15 2.0 15.0
27/10 27.0 10.0
31/20 31.0 20.0
1/26 1.0 26.0
18/27 18.0 27.0
31/13 31.0 13.0
22/4 22.0 4.0
29/28 29.0 28.0
13/15 13.0 15.0
17/5 17.0 5.0
21/10 21.0 10.0
5/9 5.0 9.0
19/14 19.0 14.0
29/30 29.0 30.0
2/18 2.0 18.0
3/12 3.0 12.0
26/25 26.0 25.0
1/28 1.0 28.0
11/9 11.0 9.0
8/17 8.0 17.0
9/8 9.0 8.0
15/10 15.0 10.0
24/7 24.0 7.0
7/18 7.0 18.0
20/3 20.0 3.0
26/2 26.0 2.0
17/8 17.0 8.0
30/27 30.0 27.0
14/21 14.0 21.0
18/30 18.0 30.0
23/18 23.0 18.0
24/24 24.0 24.0
20/16 20.0 16.0
21/13 21.0 13.0
26/10 26.0 10.0
20/22 20.0 22.0
23/22 23.0 22.0
12/30 12.0 30.0
19/1 19.0 1.0
5/24 5.0 24.0
15/26 15.0 26.0
26/13 26.0 13.0
11/15 11.0 15.0
3/5 3.0 5.0
7/16 7.0 16.0
29/15 29.0 15.0
12/28 12.0 28.0
22/3 22.0 3.0
26/15 26.0 15.0
25/11 25.0 11.0
12/18 12.0 18.0
24/20 24.0 20.0
25/21 25.0 21.0
28/12 28.0 12.0
31/29 31.0 29.0
17/24 17.0 24.0
6/5 6.0 5.0
19/28 19.0 28.0
24/13 24.0 13.0
21/18 21.0 18.0
19/7 19.0 7.0
5/5 5.0 5.0
16/28 16.0 28.0
3/8 3.0 8.0
18/5 18.0 5.0
10/13 10.0 13.0
19/8 19.0 8.0
27/12 27.0 12.0
12/24 12.0 24.0
21/28 21.0 28.0
28/18 28.0 18.0
24/29 24.0 29.0
20/28 20.0 28.0
