844 2124
16/30 16.0 30.0
26/24 26.0 24.0
9/26 9.0 26.0
11/4 11.0 4.0
13/13 13.0 13.0
24/17 24.0 17.0
8/3 8.0 3.0
6/15 6.0 15.0
12/23 12.0 23.0
33/17 33.0 17.0
24/11 24.0 11.0
18/10 18.0 10.0
22/27 22.0 27.0
15/7 15.0 7.0
21/25 21.0 25.0
1/17 1.0 17.0
14/21 14.0 21.0
3/31 3.0 31.0
4/23 4.0 23.0
28/10 28.0 10.0
20/31 20.0 31.0
9/30 9.0 30.0
28/11 28.0 11.0
6/3 6.0 3.0
14/13 14.0 13.0
20/25 20.0 25.0
8/12 8.0 12.0
21/26 21.0 26.0
12/17 12.0 17.0
22/4 22.0 4.0
31/13 31.0 13.0
1/30 1.0 30.0
10/20 10.0 20.0
31/20 31.0 20.0
6/26 6.0 26.0
20/26 20.0 26.0
17/4 17.0 4.0
18/12 18.0 12.0
15/17 15.0 17.0
5/17 5.0 17.0
4/11 4.0 11.0
7/11 7.0 11.0
6/23 6.0 23.0
10/24 10.0 24.0
14/6 14.0 6.0
12/15 12.0 15.0
9/7 9.0 7.0
12/20 12.0 20.0
16/28 16.0 28.0
5/24 5.0 24.0
28/5 28.0 5.0
6/9 6.0 9.0
8/25 8.0 25.0
30/20 30.0 20.0
8/23 8.0 23.0
25/7 25.0 7.0
1/12 1.0 12.0
16/5 16.0 5.0
13/17 13.0 17.0
12/12 12.0 12.0
25/19 25.0 19.0
22/23 22.0 23.0
31/5 31.0 5.0
14/14 14.0 14.0
31/2 31.0 2.0
5/16 5.0 16.0
9/4 9.0 4.0
10/16 10.0 16.0
16/12 16.0 12.0
8/32 8.0 32.0
27/6 27.0 6.0
6/21 6.0 21.0
31/28 31.0 28.0
22/19 22.0 19.0
4/12 4.0 12.0
20/28 20.0 28.0
1/6 1.0 6.0
19/22 19.0 22.0
26/14 26.0 14.0
15/8 15.0 8.0
30/11 30.0 11.0
6/24 6.0 24.0
16/9 16.0 9.0
12/32 12.0 32.0
11/25 11.0 25.0
29/33 29.0 33.0
13/27 13.0 27.0
10/8 10.0 8.0
1/18 1.0 18.0
11/5 11.0 5.0
4/14 4.0 14.0
23/22 23.0 22.0
24/32 24.0 32.0
5/18 5.0 18.0
6/19 6.0 19.0
16/18 16.0 18.0
3/17 3.0 17.0
19/20 19.0 20.0
12/25 12.0 25.0
18/7 18.0 7.0
12/28 12.0 28.0
13/30 13.0 30.0
