1961 4893
2/15 2.0 15.0
37/5 37.0 5.0
3/35 3.0 35.0
4/32 4.0 32.0
26/17 26.0 17.0
15/36 15.0 36.0
33/26 33.0 26.0
1/4 1.0 4.0
29/39 29.0 39.0
32/37 32.0 37.0
6/44 6.0 44.0
37/34 37.0 34.0
14/2 14.0 2.0
24/7 24.0 7.0
32/43 32.0 43.0
25/14 25.0 14.0
26/16 26.0 16.0
39/45 39.0 45.0
39/34 39.0 34.0
14/12 14.0 12.0
15/21 15.0 21.0
27/7 27.0 7.0
36/34 36.0 34.0
26/19 26.0 19.0
11/39 11.0 39.0
42/10 42.0 10.0
15/20 15.0 20.0
25/19 25.0 19.0
34/23 34.0 23.0
9/27 9.0 27.0
9/13 9.0 13.0
16/6 16.0 6.0
23/12 23.0 12.0
13/9 13.0 9.0
1/9 1.0 9.0
24/2 24.0 2.0
25/31 25.0 31.0
13/21 13.0 21.0
22/12 22.0 12.0
24/22 24.0 22.0
24/34 24.0 34.0
24/30 24.0 30.0
39/15 39.0 15.0
1/40 1.0 40.0
1/38 1.0 38.0
4/44 4.0 44.0
14/10 14.0 10.0
20/42 20.0 42.0
23/20 23.0 20.0
16/23 16.0 23.0
42/13 42.0 13.0
42/4 42.0 4.0
8/6 8.0 6.0
33/11 33.0 11.0
45/37 45.0 37.0
10/8 10.0 8.0
36/44 36.0 44.0
8/17 8.0 17.0
15/27 15.0 27.0
44/21 44.0 21.0
4/26 4.0 26.0
18/21 18.0 21.0
38/16 38.0 16.0
33/2 33.0 2.0
23/43 23.0 43.0
18/31 18.0 31.0
44/43 44.0 43.0
44/27 44.0 27.0
29/24 29.0 24.0
14/36 14.0 36.0
40/15 40.0 15.0
4/27 4.0 27.0
7/39 7.0 39.0
27/38 27.0 38.0
10/22 10.0 22.0
8/42 8.0 42.0
21/39 21.0 39.0
7/25 7.0 25.0
30/27 30.0 27.0
40/36 40.0 36.0
29/15 29.0 15.0
36/12 36.0 12.0
20/35 20.0 35.0
2/28 2.0 28.0
5/28 5.0 28.0
10/4 10.0 4.0
8/30 8.0 30.0
12/16 12.0 16.0
7/41 7.0 41.0
3/10 3.0 10.0
44/36 44.0 36.0
22/15 22.0 15.0
18/29 18.0 29.0
45/5 45.0 5.0
2/5 2.0 5.0
5/34 5.0 34.0
23/17 23.0 17.0
4/10 4.0 10.0
35/27 35.0 27.0
18/9 18.0 9.0
27/8 27.0 8.0
32/41 32.0 41.0
33/29 33.0 29.0
30/23 30.0 23.0
38/21 38.0 21.0
21/42 21.0 42.0
26/32 26.0 32.0
8/39 8.0 39.0
23/15 23.0 15.0
7/1 7.0 1.0
8/11 8.0 11.0
33/38 33.0 38.0
33/14 33.0 14.0
26/13 26.0 13.0
36/38 36.0 38.0
41/22 41.0 22.0
24/4 24.0 4.0
24/10 24.0 10.0
11/33 11.0 33.0
42/38 42.0 38.0
10/23 10.0 23.0
10/29 10.0 29.0
31/45 31.0 45.0
33/42 33.0 42.0
24/37 24.0 37.0
35/4 35.0 4.0
6/27 6.0 27.0
16/34 16.0 34.0
17/20 17.0 20.0
13/45 13.0 45.0
31/33 31.0 33.0
18/41 18.0 41.0
19/27 19.0 27.0
36/31 36.0 31.0
7/38 7.0 38.0
32/42 32.0 42.0
36/16 36.0 16.0
40/41 40.0 41.0
6/13 6.0 13.0
16/33 16.0 33.0
21/24 21.0 24.0
29/34 29.0 34.0
13/43 13.0 43.0
9/22 9.0 22.0
27/41 27.0 41.0
8/23 8.0 23.0
41/6 41.0 6.0
45/22 45.0 22.0
43/21 43.0 21.0
45/40 45.0 40.0
43/39 43.0 39.0
15/44 15.0 44.0
32/45 32.0 45.0
30/9 30.0 9.0
25/11 25.0 11.0
15/11 15.0 11.0
42/30 42.0 30.0
32/28 32.0 28.0
6/33 6.0 33.0
7/5 7.0 5.0
44/24 44.0 24.0
40/34 40.0 34.0
41/45 41.0 45.0
36/17 36.0 17.0
23/34 23.0 34.0
32/14 32.0 14.0
17/40 17.0 40.0
39/25 39.0 25.0
20/9 20.0 9.0
22/26 22.0 26.0
28/41 28.0 41.0
37/2 37.0 2.0
29/6 29.0 6.0
32/29 32.0 29.0
42/37 42.0 37.0
7/13 7.0 13.0
32/25 32.0 25.0
26/44 26.0 44.0
31/18 31.0 18.0
17/44 17.0 44.0
32/27 32.0 27.0
2/23 2.0 23.0
27/36 27.0 36.0
6/37 6.0 37.0
30/37 30.0 37.0
14/30 14.0 30.0
23/44 23.0 44.0
35/25 35.0 25.0
15/33 15.0 33.0
13/42 13.0 42.0
12/19 12.0 19.0
7/16 7.0 16.0
40/40 40.0 40.0
25/9 25.0 9.0
29/11 29.0 11.0
33/8 33.0 8.0
33/28 33.0 28.0
20/37 20.0 37.0
27/34 27.0 34.0
11/11 11.0 11.0
5/6 5.0 6.0
41/14 41.0 14.0
10/41 10.0 41.0
9/32 9.0 32.0
41/32 41.0 32.0
12/2 12.0 2.0
17/38 17.0 38.0
24/5 24.0 5.0
45/29 45.0 29.0
15/37 15.0 37.0
5/2 5.0 2.0
34/38 34.0 38.0
17/28 17.0 28.0
5/37 5.0 37.0
12/26 12.0 26.0
25/44 25.0 44.0
1/23 1.0 23.0
14/20 14.0 20.0
20/28 20.0 28.0
34/5 34.0 5.0
10/19 10.0 19.0
16/9 16.0 9.0
18/2 18.0 2.0
27/14 27.0 14.0
6/28 6.0 28.0
15/3 15.0 3.0
16/31 16.0 31.0
19/13 19.0 13.0
41/15 41.0 15.0
21/38 21.0 38.0
21/13 21.0 13.0
15/14 15.0 14.0
39/30 39.0 30.0
12/14 12.0 14.0
45/25 45.0 25.0
37/1 37.0 1.0
5/40 5.0 40.0
11/40 11.0 40.0
21/36 21.0 36.0
22/6 22.0 6.0
22/7 22.0 7.0
43/37 43.0 37.0
34/24 34.0 24.0
10/31 10.0 31.0
36/33 36.0 33.0
31/22 31.0 22.0
42/29 42.0 29.0
11/10 11.0 10.0
43/4 43.0 4.0
16/20 16.0 20.0
45/27 45.0 27.0
4/29 4.0 29.0
28/45 28.0 45.0
30/29 30.0 29.0
34/44 34.0 44.0
15/38 15.0 38.0
19/5 19.0 5.0
24/39 24.0 39.0
19/18 19.0 18.0
9/15 9.0 15.0
11/36 11.0 36.0
23/22 23.0 22.0
5/44 5.0 44.0
8/22 8.0 22.0
21/21 21.0 21.0
7/18 7.0 18.0
14/41 14.0 41.0
27/28 27.0 28.0
44/16 44.0 16.0
1/1 1.0 1.0
19/24 19.0 24.0
6/7 6.0 7.0
26/30 26.0 30.0
6/32 6.0 32.0
5/21 5.0 21.0
41/23 41.0 23.0
6/10 6.0 10.0
21/1 21.0 1.0
29/17 29.0 17.0
3/12 3.0 12.0
27/31 27.0 31.0
19/35 19.0 35.0
18/18 18.0 18.0
5/32 5.0 32.0
12/18 12.0 18.0
21/11 21.0 11.0
12/3 12.0 3.0
21/43 21.0 43.0
19/9 19.0 9.0
24/13 24.0 13.0
12/21 12.0 21.0
43/12 43.0 12.0
18/40 18.0 40.0
33/37 33.0 37.0
25/39 25.0 39.0
11/20 11.0 20.0
20/23 20.0 23.0
36/40 36.0 40.0
