602 1468
18/3 18.0 3.0
28/17 28.0 17.0
22/14 22.0 14.0
26/6 26.0 6.0
8/22 8.0 22.0
6/30 6.0 30.0
2/13 2.0 13.0
25/31 25.0 31.0
19/18 19.0 18.0
24/12 24.0 12.0
16/9 16.0 9.0
23/8 23.0 8.0
1/22 1.0 22.0
4/9 4.0 9.0
5/3 5.0 3.0
30/7 30.0 7.0
22/12 22.0 12.0
10/20 10.0 20.0
30/8 30.0 8.0
4/7 4.0 7.0
22/6 22.0 6.0
8/31 8.0 31.0
23/9 23.0 9.0
23/20 23.0 20.0
7/10 7.0 10.0
22/7 22.0 7.0
18/10 18.0 10.0
19/20 19.0 20.0
2/10 2.0 10.0
7/7 7.0 7.0
3/3 3.0 3.0
15/6 15.0 6.0
24/24 24.0 24.0
31/1 31.0 1.0
18/1 18.0 1.0
6/6 6.0 6.0
30/2 30.0 2.0
6/24 6.0 24.0
1/17 1.0 17.0
17/9 17.0 9.0
13/8 13.0 8.0
27/10 27.0 10.0
24/8 24.0 8.0
25/19 25.0 19.0
11/8 11.0 8.0
17/16 17.0 16.0
7/5 7.0 5.0
24/4 24.0 4.0
31/6 31.0 6.0
22/9 22.0 9.0
1/11 1.0 11.0
24/20 24.0 20.0
28/7 28.0 7.0
16/10 16.0 10.0
3/2 3.0 2.0
7/8 7.0 8.0
17/13 17.0 13.0
24/14 24.0 14.0
10/31 10.0 31.0
27/25 27.0 25.0
1/23 1.0 23.0
25/9 25.0 9.0
26/21 26.0 21.0
7/3 7.0 3.0
3/26 3.0 26.0
21/7 21.0 7.0
19/15 19.0 15.0
12/7 12.0 7.0
13/6 13.0 6.0
28/24 28.0 24.0
30/3 30.0 3.0
13/1 13.0 1.0
30/9 30.0 9.0
22/16 22.0 16.0
18/12 18.0 12.0
24/23 24.0 23.0
12/2 12.0 2.0
27/20 27.0 20.0
30/4 30.0 4.0
1/16 1.0 16.0
31/10 31.0 10.0
11/6 11.0 6.0
25/3 25.0 3.0
