3299 6305
46/46 46.0 46.0
41/41 41.0 41.0
25/47 25.0 47.0
23/8 23.0 8.0
38/61 38.0 61.0
32/48 32.0 48.0
8/56 8.0 56.0
4/29 4.0 29.0
27/53 27.0 53.0
19/52 19.0 52.0
38/54 38.0 54.0
13/49 13.0 49.0
58/54 58.0 54.0
6/35 6.0 35.0
27/12 27.0 12.0
18/27 18.0 27.0
48/47 48.0 47.0
12/25 12.0 25.0
41/13 41.0 13.0
46/61 46.0 61.0
17/61 17.0 61.0
22/25 22.0 25.0
7/24 7.0 24.0
44/22 44.0 22.0
33/31 33.0 31.0
20/23 20.0 23.0
41/59 41.0 59.0
53/49 53.0 49.0
24/17 24.0 17.0
27/36 27.0 36.0
10/19 10.0 19.0
25/11 25.0 11.0
57/53 57.0 53.0
22/24 22.0 24.0
29/32 29.0 32.0
20/31 20.0 31.0
31/53 31.0 53.0
11/37 11.0 37.0
46/49 46.0 49.0
29/22 29.0 22.0
38/47 38.0 47.0
54/7 54.0 7.0
55/54 55.0 54.0
23/14 23.0 14.0
36/61 36.0 61.0
25/26 25.0 26.0
23/28 23.0 28.0
58/56 58.0 56.0
54/22 54.0 22.0
32/45 32.0 45.0
21/22 21.0 22.0
60/19 60.0 19.0
40/28 40.0 28.0
37/4 37.0 4.0
40/1 40.0 1.0
43/42 43.0 42.0
36/57 36.0 57.0
55/23 55.0 23.0
16/36 16.0 36.0
33/12 33.0 12.0
9/5 9.0 5.0
58/43 58.0 43.0
9/43 9.0 43.0
54/8 54.0 8.0
44/20 44.0 20.0
31/46 31.0 46.0
31/33 31.0 33.0
10/1 10.0 1.0
4/39 4.0 39.0
33/33 33.0 33.0
42/7 42.0 7.0
9/12 9.0 12.0
45/32 45.0 32.0
28/61 28.0 61.0
15/29 15.0 29.0
39/39 39.0 39.0
29/18 29.0 18.0
60/5 60.0 5.0
23/42 23.0 42.0
38/17 38.0 17.0
8/16 8.0 16.0
36/15 36.0 15.0
40/14 40.0 14.0
29/16 29.0 16.0
23/30 23.0 30.0
56/32 56.0 32.0
6/39 6.0 39.0
51/56 51.0 56.0
30/46 30.0 46.0
14/17 14.0 17.0
