1482 3653
21/35 21.0 35.0
2/33 2.0 33.0
17/10 17.0 10.0
30/21 30.0 21.0
41/21 41.0 21.0
2/5 2.0 5.0
8/17 8.0 17.0
20/3 20.0 3.0
40/23 40.0 23.0
6/35 6.0 35.0
41/14 41.0 14.0
12/24 12.0 24.0
1/23 1.0 23.0
34/22 34.0 22.0
23/5 23.0 5.0
8/13 8.0 13.0
30/20 30.0 20.0
11/38 11.0 38.0
41/5 41.0 5.0
3/19 3.0 19.0
8/10 8.0 10.0
25/31 25.0 31.0
17/2 17.0 2.0
35/11 35.0 11.0
18/6 18.0 6.0
39/19 39.0 19.0
1/36 1.0 36.0
8/36 8.0 36.0
25/32 25.0 32.0
5/33 5.0 33.0
38/25 38.0 25.0
32/15 32.0 15.0
14/5 14.0 5.0
4/32 4.0 32.0
5/30 5.0 30.0
2/25 2.0 25.0
31/1 31.0 1.0
18/41 18.0 41.0
33/32 33.0 32.0
32/22 32.0 22.0
36/28 36.0 28.0
31/4 31.0 4.0
38/27 38.0 27.0
39/25 39.0 25.0
23/30 23.0 30.0
40/41 40.0 41.0
13/37 13.0 37.0
4/39 4.0 39.0
2/19 2.0 19.0
24/40 24.0 40.0
7/14 7.0 14.0
20/26 20.0 26.0
41/18 41.0 18.0
11/9 11.0 9.0
28/4 28.0 4.0
29/21 29.0 21.0
20/38 20.0 38.0
32/8 32.0 8.0
25/17 25.0 17.0
33/27 33.0 27.0
13/21 13.0 21.0
38/18 38.0 18.0
5/28 5.0 28.0
25/40 25.0 40.0
28/20 28.0 20.0
34/38 34.0 38.0
23/35 23.0 35.0
17/5 17.0 5.0
37/9 37.0 9.0
1/12 1.0 12.0
16/7 16.0 7.0
18/37 18.0 37.0
21/25 21.0 25.0
12/25 12.0 25.0
24/31 24.0 31.0
36/33 36.0 33.0
10/32 10.0 32.0
18/31 18.0 31.0
37/2 37.0 2.0
30/15 30.0 15.0
30/16 30.0 16.0
21/12 21.0 12.0
35/27 35.0 27.0
1/24 1.0 24.0
9/13 9.0 13.0
20/18 20.0 18.0
4/33 4.0 33.0
5/26 5.0 26.0
13/27 13.0 27.0
16/5 16.0 5.0
30/36 30.0 36.0
10/25 10.0 25.0
11/22 11.0 22.0
40/25 40.0 25.0
23/1 23.0 1.0
10/5 10.0 5.0
17/12 17.0 12.0
14/7 14.0 7.0
9/16 9.0 16.0
21/7 21.0 7.0
41/24 41.0 24.0
40/13 40.0 13.0
1/17 1.0 17.0
35/28 35.0 28.0
32/17 32.0 17.0
15/39 15.0 39.0
8/30 8.0 30.0
2/22 2.0 22.0
23/20 23.0 20.0
35/39 35.0 39.0
27/20 27.0 20.0
38/29 38.0 29.0
37/25 37.0 25.0
36/26 36.0 26.0
28/26 28.0 26.0
33/31 33.0 31.0
26/36 26.0 36.0
5/2 5.0 2.0
20/9 20.0 9.0
15/32 15.0 32.0
25/23 25.0 23.0
22/32 22.0 32.0
10/26 10.0 26.0
12/23 12.0 23.0
37/3 37.0 3.0
19/15 19.0 15.0
41/19 41.0 19.0
33/19 33.0 19.0
27/34 27.0 34.0
37/8 37.0 8.0
41/13 41.0 13.0
30/22 30.0 22.0
10/4 10.0 4.0
40/26 40.0 26.0
5/9 5.0 9.0
12/21 12.0 21.0
33/22 33.0 22.0
7/29 7.0 29.0
12/9 12.0 9.0
16/35 16.0 35.0
15/33 15.0 33.0
25/12 25.0 12.0
22/40 22.0 40.0
32/7 32.0 7.0
21/36 21.0 36.0
11/14 11.0 14.0
39/22 39.0 22.0
8/41 8.0 41.0
21/22 21.0 22.0
1/31 1.0 31.0
3/20 3.0 20.0
35/24 35.0 24.0
16/29 16.0 29.0
20/32 20.0 32.0
17/25 17.0 25.0
16/4 16.0 4.0
21/8 21.0 8.0
1/13 1.0 13.0
31/30 31.0 30.0
34/17 34.0 17.0
40/18 40.0 18.0
25/27 25.0 27.0
31/23 31.0 23.0
11/18 11.0 18.0
9/38 9.0 38.0
9/39 9.0 39.0
4/36 4.0 36.0
25/7 25.0 7.0
21/15 21.0 15.0
39/2 39.0 2.0
6/4 6.0 4.0
9/6 9.0 6.0
16/10 16.0 10.0
36/41 36.0 41.0
27/25 27.0 25.0
6/14 6.0 14.0
36/31 36.0 31.0
30/9 30.0 9.0
30/6 30.0 6.0
22/31 22.0 31.0
27/8 27.0 8.0
31/29 31.0 29.0
1/26 1.0 26.0
32/30 32.0 30.0
31/35 31.0 35.0
2/28 2.0 28.0
13/12 13.0 12.0
3/10 3.0 10.0
3/9 3.0 9.0
5/23 5.0 23.0
29/25 29.0 25.0
13/30 13.0 30.0
3/15 3.0 15.0
24/30 24.0 30.0
34/27 34.0 27.0
19/30 19.0 30.0
34/7 34.0 7.0
4/38 4.0 38.0
7/18 7.0 18.0
28/12 28.0 12.0
10/33 10.0 33.0
30/12 30.0 12.0
