5628 14058
47/53 47.0 53.0
1/21 1.0 21.0
79/14 79.0 14.0
73/52 73.0 52.0
26/50 26.0 50.0
7/26 7.0 26.0
79/45 79.0 45.0
59/32 59.0 32.0
63/43 63.0 43.0
19/79 19.0 79.0
46/69 46.0 69.0
65/56 65.0 56.0
59/68 59.0 68.0
28/45 28.0 45.0
59/6 59.0 6.0
35/58 35.0 58.0
54/19 54.0 19.0
33/16 33.0 16.0
19/42 19.0 42.0
17/10 17.0 10.0
65/43 65.0 43.0
64/15 64.0 15.0
73/81 73.0 81.0
1/34 1.0 34.0
24/16 24.0 16.0
5/60 5.0 60.0
52/7 52.0 7.0
45/28 45.0 28.0
42/18 42.0 18.0
13/49 13.0 49.0
39/32 39.0 32.0
47/47 47.0 47.0
18/57 18.0 57.0
75/4 75.0 4.0
32/31 32.0 31.0
60/56 60.0 56.0
15/63 15.0 63.0
60/37 60.0 37.0
12/34 12.0 34.0
71/48 71.0 48.0
2/53 2.0 53.0
15/3 15.0 3.0
39/34 39.0 34.0
47/6 47.0 6.0
72/26 72.0 26.0
5/44 5.0 44.0
7/80 7.0 80.0
36/30 36.0 30.0
8/36 8.0 36.0
50/42 50.0 42.0
33/33 33.0 33.0
74/54 74.0 54.0
64/75 64.0 75.0
7/77 7.0 77.0
7/54 7.0 54.0
8/44 8.0 44.0
46/48 46.0 48.0
71/66 71.0 66.0
28/9 28.0 9.0
11/41 11.0 41.0
67/62 67.0 62.0
70/16 70.0 16.0
8/31 8.0 31.0
5/3 5.0 3.0
50/46 50.0 46.0
60/7 60.0 7.0
12/64 12.0 64.0
54/39 54.0 39.0
34/3 34.0 3.0
80/7 80.0 7.0
7/19 7.0 19.0
13/43 13.0 43.0
20/75 20.0 75.0
47/58 47.0 58.0
45/49 45.0 49.0
58/32 58.0 32.0
10/18 10.0 18.0
2/33 2.0 33.0
22/36 22.0 36.0
48/55 48.0 55.0
62/58 62.0 58.0
50/58 50.0 58.0
74/16 74.0 16.0
77/27 77.0 27.0
72/57 72.0 57.0
46/24 46.0 24.0
39/2 39.0 2.0
71/26 71.0 26.0
53/29 53.0 29.0
8/23 8.0 23.0
68/69 68.0 69.0
3/35 3.0 35.0
35/14 35.0 14.0
69/12 69.0 12.0
13/12 13.0 12.0
48/10 48.0 10.0
75/22 75.0 22.0
64/49 64.0 49.0
66/25 66.0 25.0
26/5 26.0 5.0
70/20 70.0 20.0
76/73 76.0 73.0
25/62 25.0 62.0
24/76 24.0 76.0
65/36 65.0 36.0
69/23 69.0 23.0
21/61 21.0 61.0
62/16 62.0 16.0
69/67 69.0 67.0
7/31 7.0 31.0
34/44 34.0 44.0
8/76 8.0 76.0
45/57 45.0 57.0
69/15 69.0 15.0
36/3 36.0 3.0
50/52 50.0 52.0
60/31 60.0 31.0
38/72 38.0 72.0
71/20 71.0 20.0
46/76 46.0 76.0
76/75 76.0 75.0
65/21 65.0 21.0
57/37 57.0 37.0
33/37 33.0 37.0
69/57 69.0 57.0
43/20 43.0 20.0
39/5 39.0 5.0
5/81 5.0 81.0
30/6 30.0 6.0
36/32 36.0 32.0
7/11 7.0 11.0
2/27 2.0 27.0
13/11 13.0 11.0
47/42 47.0 42.0
6/28 6.0 28.0
60/2 60.0 2.0
71/42 71.0 42.0
19/35 19.0 35.0
55/3 55.0 3.0
42/55 42.0 55.0
57/4 57.0 4.0
51/17 51.0 17.0
78/12 78.0 12.0
28/2 28.0 2.0
76/11 76.0 11.0
30/46 30.0 46.0
6/75 6.0 75.0
74/81 74.0 81.0
8/55 8.0 55.0
10/28 10.0 28.0
20/22 20.0 22.0
68/48 68.0 48.0
67/25 67.0 25.0
68/59 68.0 59.0
27/68 27.0 68.0
72/13 72.0 13.0
2/19 2.0 19.0
35/76 35.0 76.0
47/30 47.0 30.0
1/51 1.0 51.0
52/8 52.0 8.0
54/34 54.0 34.0
27/79 27.0 79.0
30/7 30.0 7.0
48/45 48.0 45.0
46/52 46.0 52.0
25/73 25.0 73.0
35/30 35.0 30.0
81/24 81.0 24.0
20/73 20.0 73.0
59/70 59.0 70.0
13/51 13.0 51.0
51/59 51.0 59.0
45/56 45.0 56.0
30/53 30.0 53.0
12/61 12.0 61.0
67/13 67.0 13.0
76/9 76.0 9.0
17/45 17.0 45.0
45/79 45.0 79.0
61/66 61.0 66.0
17/81 17.0 81.0
45/66 45.0 66.0
75/15 75.0 15.0
25/52 25.0 52.0
78/72 78.0 72.0
4/16 4.0 16.0
9/18 9.0 18.0
68/66 68.0 66.0
48/13 48.0 13.0
58/68 58.0 68.0
54/56 54.0 56.0
74/58 74.0 58.0
78/47 78.0 47.0
6/71 6.0 71.0
36/56 36.0 56.0
16/39 16.0 39.0
68/61 68.0 61.0
72/64 72.0 64.0
10/25 10.0 25.0
44/6 44.0 6.0
79/69 79.0 69.0
3/1 3.0 1.0
6/8 6.0 8.0
69/63 69.0 63.0
13/25 13.0 25.0
53/73 53.0 73.0
49/80 49.0 80.0
80/77 80.0 77.0
55/63 55.0 63.0
77/52 77.0 52.0
27/44 27.0 44.0
74/14 74.0 14.0
77/17 77.0 17.0
62/79 62.0 79.0
11/57 11.0 57.0
15/41 15.0 41.0
31/72 31.0 72.0
18/44 18.0 44.0
20/15 20.0 15.0
19/36 19.0 36.0
69/3 69.0 3.0
23/18 23.0 18.0
61/22 61.0 22.0
60/35 60.0 35.0
67/58 67.0 58.0
25/7 25.0 7.0
75/55 75.0 55.0
53/77 53.0 77.0
80/63 80.0 63.0
32/16 32.0 16.0
55/40 55.0 40.0
55/43 55.0 43.0
66/12 66.0 12.0
18/59 18.0 59.0
64/77 64.0 77.0
14/20 14.0 20.0
57/5 57.0 5.0
48/57 48.0 57.0
39/30 39.0 30.0
21/77 21.0 77.0
61/18 61.0 18.0
7/18 7.0 18.0
16/26 16.0 26.0
45/51 45.0 51.0
21/62 21.0 62.0
5/7 5.0 7.0
26/4 26.0 4.0
66/23 66.0 23.0
42/1 42.0 1.0
46/63 46.0 63.0
2/69 2.0 69.0
80/50 80.0 50.0
6/6 6.0 6.0
44/48 44.0 48.0
14/31 14.0 31.0
66/37 66.0 37.0
73/7 73.0 7.0
