921 1857
33/22 33.0 22.0
22/13 22.0 13.0
35/25 35.0 25.0
23/14 23.0 14.0
30/30 30.0 30.0
12/28 12.0 28.0
18/25 18.0 25.0
12/20 12.0 20.0
16/17 16.0 17.0
19/18 19.0 18.0
18/18 18.0 18.0
36/21 36.0 21.0
7/13 7.0 13.0
32/3 32.0 3.0
28/26 28.0 26.0
33/18 33.0 18.0
25/23 25.0 23.0
18/11 18.0 11.0
29/14 29.0 14.0
2/28 2.0 28.0
1/29 1.0 29.0
5/3 5.0 3.0
33/11 33.0 11.0
2/23 2.0 23.0
33/5 33.0 5.0
26/27 26.0 27.0
36/18 36.0 18.0
29/30 29.0 30.0
35/7 35.0 7.0
34/12 34.0 12.0
7/33 7.0 33.0
4/31 4.0 31.0
6/31 6.0 31.0
1/25 1.0 25.0
3/22 3.0 22.0
31/6 31.0 6.0
5/5 5.0 5.0
16/24 16.0 24.0
20/23 20.0 23.0
7/16 7.0 16.0
15/5 15.0 5.0
32/26 32.0 26.0
24/18 24.0 18.0
16/15 16.0 15.0
2/35 2.0 35.0
5/16 5.0 16.0
22/16 22.0 16.0
10/12 10.0 12.0
9/3 9.0 3.0
16/22 16.0 22.0
27/34 27.0 34.0
30/34 30.0 34.0
19/22 19.0 22.0
36/23 36.0 23.0
30/7 30.0 7.0
17/18 17.0 18.0
27/24 27.0 24.0
10/23 10.0 23.0
32/29 32.0 29.0
7/27 7.0 27.0
25/9 25.0 9.0
34/17 34.0 17.0
24/16 24.0 16.0
27/22 27.0 22.0
11/9 11.0 9.0
36/1 36.0 1.0
15/7 15.0 7.0
9/29 9.0 29.0
10/11 10.0 11.0
4/9 4.0 9.0
13/15 13.0 15.0
13/25 13.0 25.0
26/26 26.0 26.0
26/2 26.0 2.0
6/12 6.0 12.0
12/35 12.0 35.0
32/27 32.0 27.0
21/27 21.0 27.0
9/25 9.0 25.0
13/22 13.0 22.0
26/33 26.0 33.0
30/26 30.0 26.0
4/35 4.0 35.0
11/14 11.0 14.0
13/10 13.0 10.0
14/21 14.0 21.0
1/19 1.0 19.0
21/3 21.0 3.0
36/35 36.0 35.0
1/6 1.0 6.0
21/28 21.0 28.0
6/26 6.0 26.0
27/33 27.0 33.0
15/15 15.0 15.0
18/33 18.0 33.0
17/20 17.0 20.0
4/26 4.0 26.0
33/7 33.0 7.0
29/18 29.0 18.0
32/7 32.0 7.0
26/36 26.0 36.0
19/30 19.0 30.0
33/15 33.0 15.0
14/26 14.0 26.0
22/11 22.0 11.0
19/21 19.0 21.0
10/35 10.0 35.0
17/28 17.0 28.0
29/34 29.0 34.0
30/12 30.0 12.0
35/22 35.0 22.0
4/22 4.0 22.0
24/13 24.0 13.0
11/2 11.0 2.0
34/8 34.0 8.0
22/29 22.0 29.0
29/17 29.0 17.0
34/1 34.0 1.0
4/33 4.0 33.0
17/14 17.0 14.0
14/14 14.0 14.0
34/22 34.0 22.0
1/21 1.0 21.0
29/27 29.0 27.0
19/27 19.0 27.0
31/26 31.0 26.0
2/29 2.0 29.0
29/1 29.0 1.0
29/23 29.0 23.0
23/13 23.0 13.0
3/3 3.0 3.0
35/1 35.0 1.0
33/12 33.0 12.0
16/27 16.0 27.0
34/32 34.0 32.0
14/4 14.0 4.0
29/29 29.0 29.0
21/9 21.0 9.0
14/28 14.0 28.0
36/3 36.0 3.0
3/31 3.0 31.0
26/24 26.0 24.0
24/22 24.0 22.0
16/33 16.0 33.0
27/25 27.0 25.0
8/9 8.0 9.0
36/11 36.0 11.0
7/1 7.0 1.0
19/13 19.0 13.0
16/10 16.0 10.0
23/36 23.0 36.0
12/21 12.0 21.0
22/12 22.0 12.0
9/9 9.0 9.0
1/11 1.0 11.0
12/27 12.0 27.0
18/23 18.0 23.0
10/16 10.0 16.0
26/31 26.0 31.0
32/19 32.0 19.0
12/14 12.0 14.0
33/27 33.0 27.0
36/4 36.0 4.0
15/21 15.0 21.0
28/25 28.0 25.0
31/7 31.0 7.0
9/8 9.0 8.0
9/35 9.0 35.0
17/23 17.0 23.0
2/15 2.0 15.0
19/36 19.0 36.0
23/2 23.0 2.0
31/19 31.0 19.0
25/34 25.0 34.0
23/8 23.0 8.0
9/30 9.0 30.0
22/30 22.0 30.0
17/3 17.0 3.0
17/16 17.0 16.0
25/3 25.0 3.0
24/33 24.0 33.0
20/22 20.0 22.0
8/34 8.0 34.0
9/13 9.0 13.0
20/20 20.0 20.0
9/27 9.0 27.0
13/5 13.0 5.0
4/23 4.0 23.0
1/14 1.0 14.0
28/27 28.0 27.0
15/16 15.0 16.0
24/1 24.0 1.0
5/9 5.0 9.0
30/4 30.0 4.0
26/18 26.0 18.0
3/27 3.0 27.0
10/34 10.0 34.0
22/26 22.0 26.0
7/3 7.0 3.0
6/9 6.0 9.0
14/25 14.0 25.0
6/23 6.0 23.0
31/2 31.0 2.0
22/14 22.0 14.0
5/29 5.0 29.0
35/21 35.0 21.0
11/31 11.0 31.0
26/12 26.0 12.0
27/9 27.0 9.0
25/26 25.0 26.0
26/14 26.0 14.0
17/21 17.0 21.0
24/21 24.0 21.0
13/18 13.0 18.0
14/17 14.0 17.0
27/10 27.0 10.0
1/17 1.0 17.0
16/20 16.0 20.0
12/19 12.0 19.0
31/11 31.0 11.0
16/29 16.0 29.0
6/10 6.0 10.0
2/2 2.0 2.0
20/26 20.0 26.0
17/8 17.0 8.0
28/18 28.0 18.0
31/31 31.0 31.0
17/35 17.0 35.0
31/9 31.0 9.0
23/21 23.0 21.0
21/36 21.0 36.0
22/22 22.0 22.0
27/28 27.0 28.0
25/33 25.0 33.0
16/8 16.0 8.0
9/33 9.0 33.0
16/2 16.0 2.0
22/28 22.0 28.0
9/32 9.0 32.0
23/10 23.0 10.0
10/24 10.0 24.0
9/16 9.0 16.0
21/2 21.0 2.0
36/32 36.0 32.0
12/12 12.0 12.0
31/8 31.0 8.0
17/24 17.0 24.0
24/24 24.0 24.0
32/20 32.0 20.0
30/17 30.0 17.0
15/18 15.0 18.0
29/25 29.0 25.0
29/31 29.0 31.0
31/27 31.0 27.0
20/7 20.0 7.0
29/2 29.0 2.0
10/13 10.0 13.0
9/14 9.0 14.0
20/4 20.0 4.0
32/25 32.0 25.0
20/8 20.0 8.0
1/8 1.0 8.0
3/17 3.0 17.0
8/10 8.0 10.0
17/4 17.0 4.0
8/6 8.0 6.0
9/31 9.0 31.0
1/4 1.0 4.0
1/18 1.0 18.0
23/9 23.0 9.0
13/8 13.0 8.0
16/1 16.0 1.0
17/33 17.0 33.0
20/36 20.0 36.0
32/11 32.0 11.0
32/23 32.0 23.0
34/18 34.0 18.0
12/10 12.0 10.0
4/2 4.0 2.0
18/7 18.0 7.0
25/19 25.0 19.0
27/8 27.0 8.0
21/23 21.0 23.0
26/5 26.0 5.0
7/4 7.0 4.0
5/28 5.0 28.0
2/19 2.0 19.0
1/24 1.0 24.0
6/20 6.0 20.0
25/13 25.0 13.0
12/29 12.0 29.0
15/19 15.0 19.0
34/34 34.0 34.0
30/16 30.0 16.0
2/5 2.0 5.0
21/1 21.0 1.0
29/22 29.0 22.0
14/32 14.0 32.0
20/30 20.0 30.0
32/22 32.0 22.0
5/31 5.0 31.0
8/15 8.0 15.0
7/30 7.0 30.0
25/10 25.0 10.0
1/34 1.0 34.0
6/4 6.0 4.0
2/34 2.0 34.0
1/36 1.0 36.0
9/28 9.0 28.0
17/10 17.0 10.0
27/26 27.0 26.0
36/22 36.0 22.0
16/19 16.0 19.0
30/2 30.0 2.0
16/5 16.0 5.0
3/35 3.0 35.0
20/14 20.0 14.0
33/32 33.0 32.0
2/12 2.0 12.0
18/9 18.0 9.0
33/16 33.0 16.0
21/6 21.0 6.0
18/16 18.0 16.0
8/19 8.0 19.0
36/20 36.0 20.0
27/7 27.0 7.0
29/33 29.0 33.0
22/31 22.0 31.0
15/13 15.0 13.0
27/11 27.0 11.0
13/16 13.0 16.0
20/18 20.0 18.0
26/13 26.0 13.0
20/17 20.0 17.0
12/17 12.0 17.0
35/3 35.0 3.0
1/10 1.0 10.0
18/5 18.0 5.0
9/20 9.0 20.0
3/20 3.0 20.0
6/19 6.0 19.0
10/7 10.0 7.0
30/8 30.0 8.0
13/1 13.0 1.0
12/8 12.0 8.0
3/7 3.0 7.0
16/4 16.0 4.0
16/9 16.0 9.0
16/18 16.0 18.0
25/27 25.0 27.0
23/32 23.0 32.0
2/8 2.0 8.0
18/29 18.0 29.0
5/2 5.0 2.0
9/4 9.0 4.0
32/13 32.0 13.0
3/25 3.0 25.0
19/31 19.0 31.0
24/15 24.0 15.0
30/33 30.0 33.0
16/14 16.0 14.0
6/24 6.0 24.0
15/8 15.0 8.0
8/25 8.0 25.0
14/30 14.0 30.0
22/20 22.0 20.0
32/24 32.0 24.0
16/36 16.0 36.0
15/33 15.0 33.0
5/1 5.0 1.0
21/13 21.0 13.0
29/28 29.0 28.0
23/6 23.0 6.0
14/34 14.0 34.0
9/11 9.0 11.0
13/33 13.0 33.0
30/35 30.0 35.0
35/24 35.0 24.0
9/24 9.0 24.0
17/22 17.0 22.0
28/8 28.0 8.0
15/29 15.0 29.0
23/11 23.0 11.0
36/14 36.0 14.0
32/1 32.0 1.0
32/30 32.0 30.0
21/35 21.0 35.0
17/11 17.0 11.0
12/32 12.0 32.0
24/10 24.0 10.0
28/23 28.0 23.0
33/31 33.0 31.0
1/13 1.0 13.0
33/19 33.0 19.0
36/25 36.0 25.0
18/32 18.0 32.0
4/20 4.0 20.0
8/35 8.0 35.0
24/3 24.0 3.0
33/9 33.0 9.0
14/29 14.0 29.0
13/29 13.0 29.0
25/18 25.0 18.0
25/24 25.0 24.0
32/14 32.0 14.0
35/8 35.0 8.0
5/4 5.0 4.0
31/3 31.0 3.0
6/3 6.0 3.0
7/25 7.0 25.0
12/22 12.0 22.0
10/5 10.0 5.0
32/2 32.0 2.0
1/35 1.0 35.0
7/2 7.0 2.0
18/2 18.0 2.0
13/31 13.0 31.0
19/9 19.0 9.0
29/32 29.0 32.0
32/12 32.0 12.0
6/33 6.0 33.0
24/12 24.0 12.0
24/25 24.0 25.0
11/21 11.0 21.0
33/30 33.0 30.0
21/25 21.0 25.0
23/34 23.0 34.0
14/24 14.0 24.0
31/20 31.0 20.0
27/20 27.0 20.0
21/12 21.0 12.0
10/1 10.0 1.0
15/23 15.0 23.0
8/29 8.0 29.0
17/9 17.0 9.0
26/21 26.0 21.0
2/21 2.0 21.0
28/12 28.0 12.0
14/9 14.0 9.0
17/29 17.0 29.0
30/9 30.0 9.0
20/2 20.0 2.0
32/32 32.0 32.0
4/19 4.0 19.0
36/36 36.0 36.0
12/11 12.0 11.0
14/18 14.0 18.0
28/1 28.0 1.0
31/25 31.0 25.0
13/34 13.0 34.0
25/11 25.0 11.0
26/15 26.0 15.0
15/14 15.0 14.0
33/33 33.0 33.0
19/10 19.0 10.0
10/10 10.0 10.0
14/7 14.0 7.0
27/36 27.0 36.0
29/26 29.0 26.0
35/12 35.0 12.0
4/24 4.0 24.0
2/30 2.0 30.0
29/15 29.0 15.0
14/15 14.0 15.0
5/18 5.0 18.0
11/22 11.0 22.0
4/28 4.0 28.0
20/35 20.0 35.0
16/34 16.0 34.0
35/11 35.0 11.0
22/4 22.0 4.0
22/19 22.0 19.0
21/16 21.0 16.0
4/6 4.0 6.0
19/12 19.0 12.0
