1392 2572
22/15 22.0 15.0
4/16 4.0 16.0
7/6 7.0 6.0
17/8 17.0 8.0
33/10 33.0 10.0
1/21 1.0 21.0
21/38 21.0 38.0
27/8 27.0 8.0
28/8 28.0 8.0
31/10 31.0 10.0
5/23 5.0 23.0
10/5 10.0 5.0
13/13 13.0 13.0
18/19 18.0 19.0
21/2 21.0 2.0
39/32 39.0 32.0
8/38 8.0 38.0
5/26 5.0 26.0
2/29 2.0 29.0
30/36 30.0 36.0
37/21 37.0 21.0
34/3 34.0 3.0
27/19 27.0 19.0
28/12 28.0 12.0
14/34 14.0 34.0
40/38 40.0 38.0
20/22 20.0 22.0
39/19 39.0 19.0
31/23 31.0 23.0
26/29 26.0 29.0
4/21 4.0 21.0
27/27 27.0 27.0
32/42 32.0 42.0
41/36 41.0 36.0
31/1 31.0 1.0
5/21 5.0 21.0
28/23 28.0 23.0
31/14 31.0 14.0
37/9 37.0 9.0
36/17 36.0 17.0
33/32 33.0 32.0
20/36 20.0 36.0
20/24 20.0 24.0
20/29 20.0 29.0
23/22 23.0 22.0
24/1 24.0 1.0
22/32 22.0 32.0
15/41 15.0 41.0
35/2 35.0 2.0
26/12 26.0 12.0
38/23 38.0 23.0
26/35 26.0 35.0
17/18 17.0 18.0
19/10 19.0 10.0
4/38 4.0 38.0
24/27 24.0 27.0
4/40 4.0 40.0
7/13 7.0 13.0
18/4 18.0 4.0
7/26 7.0 26.0
18/25 18.0 25.0
23/39 23.0 39.0
32/17 32.0 17.0
32/16 32.0 16.0
19/16 19.0 16.0
24/28 24.0 28.0
25/13 25.0 13.0
8/41 8.0 41.0
28/20 28.0 20.0
20/18 20.0 18.0
3/32 3.0 32.0
17/35 17.0 35.0
32/40 32.0 40.0
2/18 2.0 18.0
22/34 22.0 34.0
10/31 10.0 31.0
24/37 24.0 37.0
15/22 15.0 22.0
41/5 41.0 5.0
9/29 9.0 29.0
12/41 12.0 41.0
10/7 10.0 7.0
26/31 26.0 31.0
6/29 6.0 29.0
13/23 13.0 23.0
16/1 16.0 1.0
33/7 33.0 7.0
19/21 19.0 21.0
23/11 23.0 11.0
14/16 14.0 16.0
24/36 24.0 36.0
16/18 16.0 18.0
14/6 14.0 6.0
28/3 28.0 3.0
32/12 32.0 12.0
20/30 20.0 30.0
13/41 13.0 41.0
40/36 40.0 36.0
39/17 39.0 17.0
12/16 12.0 16.0
28/14 28.0 14.0
35/26 35.0 26.0
14/39 14.0 39.0
27/3 27.0 3.0
32/29 32.0 29.0
16/19 16.0 19.0
35/12 35.0 12.0
13/28 13.0 28.0
22/12 22.0 12.0
6/17 6.0 17.0
26/19 26.0 19.0
41/20 41.0 20.0
34/8 34.0 8.0
13/12 13.0 12.0
19/5 19.0 5.0
38/41 38.0 41.0
15/11 15.0 11.0
10/23 10.0 23.0
31/28 31.0 28.0
35/17 35.0 17.0
9/28 9.0 28.0
25/17 25.0 17.0
34/21 34.0 21.0
14/18 14.0 18.0
15/21 15.0 21.0
36/40 36.0 40.0
38/25 38.0 25.0
8/31 8.0 31.0
14/21 14.0 21.0
29/6 29.0 6.0
17/19 17.0 19.0
31/18 31.0 18.0
27/1 27.0 1.0
32/10 32.0 10.0
40/29 40.0 29.0
30/10 30.0 10.0
30/35 30.0 35.0
33/19 33.0 19.0
6/39 6.0 39.0
25/37 25.0 37.0
36/19 36.0 19.0
31/41 31.0 41.0
18/34 18.0 34.0
39/3 39.0 3.0
29/26 29.0 26.0
9/23 9.0 23.0
15/32 15.0 32.0
42/20 42.0 20.0
5/28 5.0 28.0
34/41 34.0 41.0
19/7 19.0 7.0
17/39 17.0 39.0
23/17 23.0 17.0
18/17 18.0 17.0
27/21 27.0 21.0
27/33 27.0 33.0
1/37 1.0 37.0
14/32 14.0 32.0
30/37 30.0 37.0
36/16 36.0 16.0
25/41 25.0 41.0
14/1 14.0 1.0
37/12 37.0 12.0
17/20 17.0 20.0
34/32 34.0 32.0
37/20 37.0 20.0
40/14 40.0 14.0
36/13 36.0 13.0
5/32 5.0 32.0
16/33 16.0 33.0
32/19 32.0 19.0
18/21 18.0 21.0
25/25 25.0 25.0
26/14 26.0 14.0
26/3 26.0 3.0
16/22 16.0 22.0
23/14 23.0 14.0
17/16 17.0 16.0
10/28 10.0 28.0
15/40 15.0 40.0
27/34 27.0 34.0
34/9 34.0 9.0
31/16 31.0 16.0
31/38 31.0 38.0
23/41 23.0 41.0
13/9 13.0 9.0
41/10 41.0 10.0
26/38 26.0 38.0
26/15 26.0 15.0
6/19 6.0 19.0
31/2 31.0 2.0
38/11 38.0 11.0
22/36 22.0 36.0
33/9 33.0 9.0
24/16 24.0 16.0
6/20 6.0 20.0
15/36 15.0 36.0
15/28 15.0 28.0
16/13 16.0 13.0
39/30 39.0 30.0
15/18 15.0 18.0
13/37 13.0 37.0
36/11 36.0 11.0
22/2 22.0 2.0
3/3 3.0 3.0
32/35 32.0 35.0
29/40 29.0 40.0
18/9 18.0 9.0
26/27 26.0 27.0
31/13 31.0 13.0
