175 331
4/9 4.0 9.0
14/18 14.0 18.0
8/15 8.0 15.0
4/7 4.0 7.0
14/12 14.0 12.0
6/16 6.0 16.0
16/1 16.0 1.0
16/14 16.0 14.0
2/11 2.0 11.0
7/10 7.0 10.0
19/6 19.0 6.0
4/8 4.0 8.0
6/6 6.0 6.0
2/15 2.0 15.0
11/17 11.0 17.0
10/19 10.0 19.0
9/11 9.0 11.0
9/12 9.0 12.0
4/4 4.0 4.0
6/13 6.0 13.0
18/20 18.0 20.0
5/9 5.0 9.0
8/9 8.0 9.0
10/10 10.0 10.0
8/16 8.0 16.0
2/14 2.0 14.0
2/8 2.0 8.0
3/11 3.0 11.0
12/15 12.0 15.0
14/1 14.0 1.0
6/10 6.0 10.0
19/4 19.0 4.0
5/5 5.0 5.0
17/19 17.0 19.0
13/15 13.0 15.0
19/17 19.0 17.0
10/12 10.0 12.0
1/6 1.0 6.0
19/19 19.0 19.0
13/19 13.0 19.0
5/8 5.0 8.0
17/20 17.0 20.0
20/12 20.0 12.0
16/5 16.0 5.0
5/14 5.0 14.0
7/11 7.0 11.0
19/5 19.0 5.0
12/18 12.0 18.0
17/16 17.0 16.0
14/15 14.0 15.0
17/18 17.0 18.0
3/16 3.0 16.0
9/13 9.0 13.0
20/6 20.0 6.0
11/16 11.0 16.0
1/14 1.0 14.0
13/13 13.0 13.0
19/9 19.0 9.0
2/10 2.0 10.0
18/15 18.0 15.0
5/1 5.0 1.0
8/7 8.0 7.0
20/5 20.0 5.0
11/7 11.0 7.0
3/14 3.0 14.0
4/16 4.0 16.0
14/19 14.0 19.0
5/17 5.0 17.0
19/14 19.0 14.0
7/13 7.0 13.0
15/15 15.0 15.0
4/12 4.0 12.0
3/4 3.0 4.0
7/18 7.0 18.0
2/7 2.0 7.0
17/10 17.0 10.0
13/16 13.0 16.0
1/11 1.0 11.0
13/8 13.0 8.0
15/8 15.0 8.0
5/10 5.0 10.0
9/16 9.0 16.0
15/10 15.0 10.0
5/15 5.0 15.0
11/13 11.0 13.0
8/18 8.0 18.0
11/8 11.0 8.0
12/13 12.0 13.0
18/12 18.0 12.0
17/13 17.0 13.0
2/13 2.0 13.0
8/17 8.0 17.0
5/12 5.0 12.0
6/18 6.0 18.0
8/10 8.0 10.0
1/10 1.0 10.0
18/1 18.0 1.0
1/2 1.0 2.0
5/6 5.0 6.0
12/14 12.0 14.0
7/1 7.0 1.0
8/6 8.0 6.0
20/15 20.0 15.0
11/15 11.0 15.0
13/14 13.0 14.0
10/13 10.0 13.0
3/1 3.0 1.0
19/20 19.0 20.0
20/7 20.0 7.0
18/14 18.0 14.0
1/4 1.0 4.0
18/2 18.0 2.0
7/5 7.0 5.0
7/12 7.0 12.0
10/16 10.0 16.0
4/6 4.0 6.0
13/1 13.0 1.0
17/14 17.0 14.0
1/13 1.0 13.0
14/17 14.0 17.0
1/20 1.0 20.0
7/14 7.0 14.0
20/4 20.0 4.0
13/18 13.0 18.0
5/13 5.0 13.0
19/11 19.0 11.0
1/16 1.0 16.0
16/2 16.0 2.0
10/6 10.0 6.0
16/16 16.0 16.0
3/15 3.0 15.0
17/15 17.0 15.0
12/17 12.0 17.0
19/1 19.0 1.0
8/5 8.0 5.0
3/8 3.0 8.0
7/7 7.0 7.0
3/18 3.0 18.0
11/14 11.0 14.0
13/7 13.0 7.0
8/8 8.0 8.0
4/19 4.0 19.0
6/17 6.0 17.0
20/13 20.0 13.0
6/11 6.0 11.0
2/16 2.0 16.0
