1621 2468
10/31 10.0 31.0
21/48 21.0 48.0
18/15 18.0 15.0
20/9 20.0 9.0
11/21 11.0 21.0
16/30 16.0 30.0
42/14 42.0 14.0
16/3 16.0 3.0
33/30 33.0 30.0
47/11 47.0 11.0
3/4 3.0 4.0
6/48 6.0 48.0
23/15 23.0 15.0
36/10 36.0 10.0
13/32 13.0 32.0
36/12 36.0 12.0
15/32 15.0 32.0
49/4 49.0 4.0
50/46 50.0 46.0
12/42 12.0 42.0
37/26 37.0 26.0
12/36 12.0 36.0
22/4 22.0 4.0
43/20 43.0 20.0
19/42 19.0 42.0
43/12 43.0 12.0
29/15 29.0 15.0
37/17 37.0 17.0
45/39 45.0 39.0
22/27 22.0 27.0
19/4 19.0 4.0
49/44 49.0 44.0
27/33 27.0 33.0
43/11 43.0 11.0
31/12 31.0 12.0
31/38 31.0 38.0
22/11 22.0 11.0
34/39 34.0 39.0
7/12 7.0 12.0
18/33 18.0 33.0
33/29 33.0 29.0
27/35 27.0 35.0
41/21 41.0 21.0
15/13 15.0 13.0
22/34 22.0 34.0
13/39 13.0 39.0
23/37 23.0 37.0
1/41 1.0 41.0
42/43 42.0 43.0
18/29 18.0 29.0
10/50 10.0 50.0
20/11 20.0 11.0
18/45 18.0 45.0
1/23 1.0 23.0
46/6 46.0 6.0
9/5 9.0 5.0
28/46 28.0 46.0
30/47 30.0 47.0
25/17 25.0 17.0
20/34 20.0 34.0
38/14 38.0 14.0
37/8 37.0 8.0
39/25 39.0 25.0
11/38 11.0 38.0
9/32 9.0 32.0
34/30 34.0 30.0
42/19 42.0 19.0
12/33 12.0 33.0
34/12 34.0 12.0
6/35 6.0 35.0
15/31 15.0 31.0
23/12 23.0 12.0
1/9 1.0 9.0
21/33 21.0 33.0
46/43 46.0 43.0
30/19 30.0 19.0
39/6 39.0 6.0
1/31 1.0 31.0
10/37 10.0 37.0
48/17 48.0 17.0
32/45 32.0 45.0
1/4 1.0 4.0
10/33 10.0 33.0
41/24 41.0 24.0
36/21 36.0 21.0
4/14 4.0 14.0
38/47 38.0 47.0
1/43 1.0 43.0
3/46 3.0 46.0
28/36 28.0 36.0
8/42 8.0 42.0
37/37 37.0 37.0
43/9 43.0 9.0
20/28 20.0 28.0
21/7 21.0 7.0
41/22 41.0 22.0
4/23 4.0 23.0
24/34 24.0 34.0
40/36 40.0 36.0
35/32 35.0 32.0
10/42 10.0 42.0
27/5 27.0 5.0
13/28 13.0 28.0
2/19 2.0 19.0
37/31 37.0 31.0
50/24 50.0 24.0
12/27 12.0 27.0
48/20 48.0 20.0
1/24 1.0 24.0
24/38 24.0 38.0
48/48 48.0 48.0
2/21 2.0 21.0
23/28 23.0 28.0
17/31 17.0 31.0
30/35 30.0 35.0
50/16 50.0 16.0
16/24 16.0 24.0
20/7 20.0 7.0
42/37 42.0 37.0
7/38 7.0 38.0
36/48 36.0 48.0
2/40 2.0 40.0
10/47 10.0 47.0
44/7 44.0 7.0
36/5 36.0 5.0
22/2 22.0 2.0
46/49 46.0 49.0
23/31 23.0 31.0
42/11 42.0 11.0
49/21 49.0 21.0
20/12 20.0 12.0
5/40 5.0 40.0
3/20 3.0 20.0
8/14 8.0 14.0
4/17 4.0 17.0
23/11 23.0 11.0
6/4 6.0 4.0
5/6 5.0 6.0
46/20 46.0 20.0
49/17 49.0 17.0
11/30 11.0 30.0
25/9 25.0 9.0
10/26 10.0 26.0
21/29 21.0 29.0
1/12 1.0 12.0
43/14 43.0 14.0
3/23 3.0 23.0
9/47 9.0 47.0
18/47 18.0 47.0
38/6 38.0 6.0
46/48 46.0 48.0
29/27 29.0 27.0
18/34 18.0 34.0
9/44 9.0 44.0
40/12 40.0 12.0
34/13 34.0 13.0
5/21 5.0 21.0
7/50 7.0 50.0
18/14 18.0 14.0
35/11 35.0 11.0
39/32 39.0 32.0
50/29 50.0 29.0
11/20 11.0 20.0
18/32 18.0 32.0
44/23 44.0 23.0
17/48 17.0 48.0
14/39 14.0 39.0
31/8 31.0 8.0
33/19 33.0 19.0
11/15 11.0 15.0
39/42 39.0 42.0
8/50 8.0 50.0
50/48 50.0 48.0
29/17 29.0 17.0
20/10 20.0 10.0
6/23 6.0 23.0
7/31 7.0 31.0
11/36 11.0 36.0
4/45 4.0 45.0
30/49 30.0 49.0
21/34 21.0 34.0
9/11 9.0 11.0
35/28 35.0 28.0
31/19 31.0 19.0
5/43 5.0 43.0
14/15 14.0 15.0
33/20 33.0 20.0
3/48 3.0 48.0
8/12 8.0 12.0
10/48 10.0 48.0
11/33 11.0 33.0
45/9 45.0 9.0
1/10 1.0 10.0
31/37 31.0 37.0
10/41 10.0 41.0
11/42 11.0 42.0
24/40 24.0 40.0
19/17 19.0 17.0
25/13 25.0 13.0
12/5 12.0 5.0
6/49 6.0 49.0
50/9 50.0 9.0
35/45 35.0 45.0
17/10 17.0 10.0
2/33 2.0 33.0
37/36 37.0 36.0
32/32 32.0 32.0
23/24 23.0 24.0
19/29 19.0 29.0
50/23 50.0 23.0
28/8 28.0 8.0
19/31 19.0 31.0
38/49 38.0 49.0
7/32 7.0 32.0
1/34 1.0 34.0
19/23 19.0 23.0
16/25 16.0 25.0
18/23 18.0 23.0
24/5 24.0 5.0
36/7 36.0 7.0
13/29 13.0 29.0
6/34 6.0 34.0
46/39 46.0 39.0
28/43 28.0 43.0
22/12 22.0 12.0
18/25 18.0 25.0
18/4 18.0 4.0
29/34 29.0 34.0
18/39 18.0 39.0
49/15 49.0 15.0
34/20 34.0 20.0
45/41 45.0 41.0
3/36 3.0 36.0
35/10 35.0 10.0
43/10 43.0 10.0
23/27 23.0 27.0
27/45 27.0 45.0
25/11 25.0 11.0
1/18 1.0 18.0
25/14 25.0 14.0
40/45 40.0 45.0
14/9 14.0 9.0
40/42 40.0 42.0
14/40 14.0 40.0
20/25 20.0 25.0
34/16 34.0 16.0
5/48 5.0 48.0
29/20 29.0 20.0
41/4 41.0 4.0
2/7 2.0 7.0
29/9 29.0 9.0
40/16 40.0 16.0
38/18 38.0 18.0
9/24 9.0 24.0
36/16 36.0 16.0
19/33 19.0 33.0
50/44 50.0 44.0
8/25 8.0 25.0
50/41 50.0 41.0
30/34 30.0 34.0
32/47 32.0 47.0
29/43 29.0 43.0
33/16 33.0 16.0
33/33 33.0 33.0
34/19 34.0 19.0
9/16 9.0 16.0
36/9 36.0 9.0
26/1 26.0 1.0
30/30 30.0 30.0
38/45 38.0 45.0
4/33 4.0 33.0
45/21 45.0 21.0
10/12 10.0 12.0
21/40 21.0 40.0
15/29 15.0 29.0
28/29 28.0 29.0
39/10 39.0 10.0
25/12 25.0 12.0
24/2 24.0 2.0
19/34 19.0 34.0
1/3 1.0 3.0
18/30 18.0 30.0
43/43 43.0 43.0
30/29 30.0 29.0
46/45 46.0 45.0
12/15 12.0 15.0
13/22 13.0 22.0
31/31 31.0 31.0
10/20 10.0 20.0
50/22 50.0 22.0
50/8 50.0 8.0
1/7 1.0 7.0
1/8 1.0 8.0
9/43 9.0 43.0
19/48 19.0 48.0
8/29 8.0 29.0
20/23 20.0 23.0
10/27 10.0 27.0
18/9 18.0 9.0
5/41 5.0 41.0
8/23 8.0 23.0
33/8 33.0 8.0
2/12 2.0 12.0
22/23 22.0 23.0
44/5 44.0 5.0
3/14 3.0 14.0
26/27 26.0 27.0
5/14 5.0 14.0
24/35 24.0 35.0
32/46 32.0 46.0
15/45 15.0 45.0
43/39 43.0 39.0
7/19 7.0 19.0
43/26 43.0 26.0
40/23 40.0 23.0
47/40 47.0 40.0
9/6 9.0 6.0
37/28 37.0 28.0
49/18 49.0 18.0
14/19 14.0 19.0
43/16 43.0 16.0
41/20 41.0 20.0
5/42 5.0 42.0
50/39 50.0 39.0
42/17 42.0 17.0
16/18 16.0 18.0
32/49 32.0 49.0
36/31 36.0 31.0
6/33 6.0 33.0
24/37 24.0 37.0
18/28 18.0 28.0
22/30 22.0 30.0
24/9 24.0 9.0
1/11 1.0 11.0
32/1 32.0 1.0
36/15 36.0 15.0
48/14 48.0 14.0
45/8 45.0 8.0
18/21 18.0 21.0
11/29 11.0 29.0
25/35 25.0 35.0
33/1 33.0 1.0
30/12 30.0 12.0
35/7 35.0 7.0
27/4 27.0 4.0
6/43 6.0 43.0
22/8 22.0 8.0
9/26 9.0 26.0
49/19 49.0 19.0
44/12 44.0 12.0
26/23 26.0 23.0
47/49 47.0 49.0
17/34 17.0 34.0
28/17 28.0 17.0
6/10 6.0 10.0
6/45 6.0 45.0
6/38 6.0 38.0
26/5 26.0 5.0
28/34 28.0 34.0
2/35 2.0 35.0
44/34 44.0 34.0
36/37 36.0 37.0
30/48 30.0 48.0
33/7 33.0 7.0
34/23 34.0 23.0
50/14 50.0 14.0
24/10 24.0 10.0
43/1 43.0 1.0
1/13 1.0 13.0
36/39 36.0 39.0
37/3 37.0 3.0
24/3 24.0 3.0
18/26 18.0 26.0
32/21 32.0 21.0
26/28 26.0 28.0
29/42 29.0 42.0
34/49 34.0 49.0
5/27 5.0 27.0
15/23 15.0 23.0
28/2 28.0 2.0
17/5 17.0 5.0
36/46 36.0 46.0
28/19 28.0 19.0
33/46 33.0 46.0
12/4 12.0 4.0
39/49 39.0 49.0
47/26 47.0 26.0
42/46 42.0 46.0
15/27 15.0 27.0
23/48 23.0 48.0
47/28 47.0 28.0
35/42 35.0 42.0
31/4 31.0 4.0
40/37 40.0 37.0
48/46 48.0 46.0
31/30 31.0 30.0
34/27 34.0 27.0
29/33 29.0 33.0
46/42 46.0 42.0
5/7 5.0 7.0
45/44 45.0 44.0
27/24 27.0 24.0
10/43 10.0 43.0
47/19 47.0 19.0
31/29 31.0 29.0
41/36 41.0 36.0
15/50 15.0 50.0
49/45 49.0 45.0
50/47 50.0 47.0
19/7 19.0 7.0
42/2 42.0 2.0
12/20 12.0 20.0
44/35 44.0 35.0
18/16 18.0 16.0
19/41 19.0 41.0
23/17 23.0 17.0
2/31 2.0 31.0
44/45 44.0 45.0
42/7 42.0 7.0
13/40 13.0 40.0
30/37 30.0 37.0
35/31 35.0 31.0
28/15 28.0 15.0
27/43 27.0 43.0
6/24 6.0 24.0
30/11 30.0 11.0
7/30 7.0 30.0
19/28 19.0 28.0
12/47 12.0 47.0
37/42 37.0 42.0
5/39 5.0 39.0
30/43 30.0 43.0
38/8 38.0 8.0
36/17 36.0 17.0
2/36 2.0 36.0
1/37 1.0 37.0
9/33 9.0 33.0
31/7 31.0 7.0
29/26 29.0 26.0
20/33 20.0 33.0
50/35 50.0 35.0
10/8 10.0 8.0
22/40 22.0 40.0
35/13 35.0 13.0
7/39 7.0 39.0
13/11 13.0 11.0
32/48 32.0 48.0
44/15 44.0 15.0
47/15 47.0 15.0
7/7 7.0 7.0
6/21 6.0 21.0
50/30 50.0 30.0
18/2 18.0 2.0
28/44 28.0 44.0
5/8 5.0 8.0
23/41 23.0 41.0
30/8 30.0 8.0
22/28 22.0 28.0
1/14 1.0 14.0
14/18 14.0 18.0
28/45 28.0 45.0
34/9 34.0 9.0
11/11 11.0 11.0
43/34 43.0 34.0
45/15 45.0 15.0
48/5 48.0 5.0
19/24 19.0 24.0
44/42 44.0 42.0
50/32 50.0 32.0
25/21 25.0 21.0
5/16 5.0 16.0
16/38 16.0 38.0
38/32 38.0 32.0
1/26 1.0 26.0
6/25 6.0 25.0
40/7 40.0 7.0
26/18 26.0 18.0
36/11 36.0 11.0
27/1 27.0 1.0
17/11 17.0 11.0
46/25 46.0 25.0
39/7 39.0 7.0
16/40 16.0 40.0
27/21 27.0 21.0
11/47 11.0 47.0
19/22 19.0 22.0
30/21 30.0 21.0
47/45 47.0 45.0
8/18 8.0 18.0
32/22 32.0 22.0
41/45 41.0 45.0
8/28 8.0 28.0
39/5 39.0 5.0
8/24 8.0 24.0
21/22 21.0 22.0
29/29 29.0 29.0
39/45 39.0 45.0
20/45 20.0 45.0
28/49 28.0 49.0
29/19 29.0 19.0
43/38 43.0 38.0
42/44 42.0 44.0
2/6 2.0 6.0
47/23 47.0 23.0
6/11 6.0 11.0
17/30 17.0 30.0
2/23 2.0 23.0
22/38 22.0 38.0
39/16 39.0 16.0
17/26 17.0 26.0
4/50 4.0 50.0
27/41 27.0 41.0
24/12 24.0 12.0
13/41 13.0 41.0
28/27 28.0 27.0
41/16 41.0 16.0
13/31 13.0 31.0
46/24 46.0 24.0
26/13 26.0 13.0
44/3 44.0 3.0
45/11 45.0 11.0
24/22 24.0 22.0
46/17 46.0 17.0
35/22 35.0 22.0
44/2 44.0 2.0
29/23 29.0 23.0
40/34 40.0 34.0
32/13 32.0 13.0
23/36 23.0 36.0
29/10 29.0 10.0
12/41 12.0 41.0
13/26 13.0 26.0
13/30 13.0 30.0
9/38 9.0 38.0
10/13 10.0 13.0
41/37 41.0 37.0
41/31 41.0 31.0
46/30 46.0 30.0
40/10 40.0 10.0
30/27 30.0 27.0
29/14 29.0 14.0
16/4 16.0 4.0
49/2 49.0 2.0
16/26 16.0 26.0
14/45 14.0 45.0
44/40 44.0 40.0
15/38 15.0 38.0
22/48 22.0 48.0
46/47 46.0 47.0
5/15 5.0 15.0
21/3 21.0 3.0
27/48 27.0 48.0
15/15 15.0 15.0
19/19 19.0 19.0
32/8 32.0 8.0
17/16 17.0 16.0
48/7 48.0 7.0
1/38 1.0 38.0
10/16 10.0 16.0
38/17 38.0 17.0
17/33 17.0 33.0
41/34 41.0 34.0
43/19 43.0 19.0
28/1 28.0 1.0
5/36 5.0 36.0
8/43 8.0 43.0
25/6 25.0 6.0
37/45 37.0 45.0
13/5 13.0 5.0
37/35 37.0 35.0
22/5 22.0 5.0
33/42 33.0 42.0
10/28 10.0 28.0
43/5 43.0 5.0
13/27 13.0 27.0
38/34 38.0 34.0
48/23 48.0 23.0
39/18 39.0 18.0
20/18 20.0 18.0
8/35 8.0 35.0
41/42 41.0 42.0
26/30 26.0 30.0
22/47 22.0 47.0
14/47 14.0 47.0
37/34 37.0 34.0
14/27 14.0 27.0
40/22 40.0 22.0
4/34 4.0 34.0
36/27 36.0 27.0
41/32 41.0 32.0
22/3 22.0 3.0
11/43 11.0 43.0
34/1 34.0 1.0
24/31 24.0 31.0
25/1 25.0 1.0
36/44 36.0 44.0
41/13 41.0 13.0
43/23 43.0 23.0
31/10 31.0 10.0
31/34 31.0 34.0
28/47 28.0 47.0
49/23 49.0 23.0
42/4 42.0 4.0
14/11 14.0 11.0
38/27 38.0 27.0
47/17 47.0 17.0
31/5 31.0 5.0
32/19 32.0 19.0
46/32 46.0 32.0
50/49 50.0 49.0
19/12 19.0 12.0
21/17 21.0 17.0
32/11 32.0 11.0
13/20 13.0 20.0
40/19 40.0 19.0
44/9 44.0 9.0
2/5 2.0 5.0
9/7 9.0 7.0
9/45 9.0 45.0
18/31 18.0 31.0
10/39 10.0 39.0
11/19 11.0 19.0
27/38 27.0 38.0
24/17 24.0 17.0
43/49 43.0 49.0
27/47 27.0 47.0
6/14 6.0 14.0
8/45 8.0 45.0
27/20 27.0 20.0
37/13 37.0 13.0
5/18 5.0 18.0
45/28 45.0 28.0
24/15 24.0 15.0
36/4 36.0 4.0
21/8 21.0 8.0
36/26 36.0 26.0
48/22 48.0 22.0
38/11 38.0 11.0
12/28 12.0 28.0
17/45 17.0 45.0
43/44 43.0 44.0
17/37 17.0 37.0
20/31 20.0 31.0
50/11 50.0 11.0
36/13 36.0 13.0
42/33 42.0 33.0
8/22 8.0 22.0
31/44 31.0 44.0
33/22 33.0 22.0
20/44 20.0 44.0
27/22 27.0 22.0
16/33 16.0 33.0
33/45 33.0 45.0
32/24 32.0 24.0
9/29 9.0 29.0
3/33 3.0 33.0
11/31 11.0 31.0
50/26 50.0 26.0
15/37 15.0 37.0
38/41 38.0 41.0
18/27 18.0 27.0
24/47 24.0 47.0
1/42 1.0 42.0
33/25 33.0 25.0
48/26 48.0 26.0
26/11 26.0 11.0
16/45 16.0 45.0
38/16 38.0 16.0
10/25 10.0 25.0
17/3 17.0 3.0
27/27 27.0 27.0
3/45 3.0 45.0
19/43 19.0 43.0
29/25 29.0 25.0
15/9 15.0 9.0
23/38 23.0 38.0
49/11 49.0 11.0
35/47 35.0 47.0
38/13 38.0 13.0
18/35 18.0 35.0
33/28 33.0 28.0
17/4 17.0 4.0
23/39 23.0 39.0
49/16 49.0 16.0
1/45 1.0 45.0
24/1 24.0 1.0
42/22 42.0 22.0
44/27 44.0 27.0
32/20 32.0 20.0
46/14 46.0 14.0
17/9 17.0 9.0
33/50 33.0 50.0
33/39 33.0 39.0
42/40 42.0 40.0
25/39 25.0 39.0
27/14 27.0 14.0
20/47 20.0 47.0
26/19 26.0 19.0
44/6 44.0 6.0
33/37 33.0 37.0
26/33 26.0 33.0
38/15 38.0 15.0
17/44 17.0 44.0
42/25 42.0 25.0
2/28 2.0 28.0
28/10 28.0 10.0
27/39 27.0 39.0
48/44 48.0 44.0
8/40 8.0 40.0
4/32 4.0 32.0
43/30 43.0 30.0
33/34 33.0 34.0
45/6 45.0 6.0
3/34 3.0 34.0
27/31 27.0 31.0
36/35 36.0 35.0
17/27 17.0 27.0
39/41 39.0 41.0
7/4 7.0 4.0
19/11 19.0 11.0
14/37 14.0 37.0
22/39 22.0 39.0
29/40 29.0 40.0
31/13 31.0 13.0
12/19 12.0 19.0
37/11 37.0 11.0
44/41 44.0 41.0
32/36 32.0 36.0
38/36 38.0 36.0
9/19 9.0 19.0
4/7 4.0 7.0
22/50 22.0 50.0
9/42 9.0 42.0
24/43 24.0 43.0
50/34 50.0 34.0
39/24 39.0 24.0
40/32 40.0 32.0
14/23 14.0 23.0
37/40 37.0 40.0
14/22 14.0 22.0
25/48 25.0 48.0
13/50 13.0 50.0
5/10 5.0 10.0
30/26 30.0 26.0
28/12 28.0 12.0
3/29 3.0 29.0
13/48 13.0 48.0
42/10 42.0 10.0
41/15 41.0 15.0
16/8 16.0 8.0
34/22 34.0 22.0
46/41 46.0 41.0
11/50 11.0 50.0
16/43 16.0 43.0
39/35 39.0 35.0
40/25 40.0 25.0
38/12 38.0 12.0
11/13 11.0 13.0
14/12 14.0 12.0
49/10 49.0 10.0
47/46 47.0 46.0
48/39 48.0 39.0
40/21 40.0 21.0
40/49 40.0 49.0
12/35 12.0 35.0
9/18 9.0 18.0
36/47 36.0 47.0
47/8 47.0 8.0
30/7 30.0 7.0
39/20 39.0 20.0
17/28 17.0 28.0
31/11 31.0 11.0
8/47 8.0 47.0
32/12 32.0 12.0
38/24 38.0 24.0
5/23 5.0 23.0
49/13 49.0 13.0
20/15 20.0 15.0
2/20 2.0 20.0
4/18 4.0 18.0
9/12 9.0 12.0
21/13 21.0 13.0
16/28 16.0 28.0
22/33 22.0 33.0
12/23 12.0 23.0
46/35 46.0 35.0
14/17 14.0 17.0
21/2 21.0 2.0
30/1 30.0 1.0
49/3 49.0 3.0
35/16 35.0 16.0
25/33 25.0 33.0
13/43 13.0 43.0
33/43 33.0 43.0
6/17 6.0 17.0
8/48 8.0 48.0
30/40 30.0 40.0
10/21 10.0 21.0
33/32 33.0 32.0
1/28 1.0 28.0
13/17 13.0 17.0
32/35 32.0 35.0
42/16 42.0 16.0
32/26 32.0 26.0
19/32 19.0 32.0
12/14 12.0 14.0
32/38 32.0 38.0
31/6 31.0 6.0
40/14 40.0 14.0
45/5 45.0 5.0
33/49 33.0 49.0
34/35 34.0 35.0
39/34 39.0 34.0
45/13 45.0 13.0
4/38 4.0 38.0
16/2 16.0 2.0
35/12 35.0 12.0
26/41 26.0 41.0
48/16 48.0 16.0
26/43 26.0 43.0
3/22 3.0 22.0
19/38 19.0 38.0
10/40 10.0 40.0
42/9 42.0 9.0
9/22 9.0 22.0
18/22 18.0 22.0
25/29 25.0 29.0
3/15 3.0 15.0
6/22 6.0 22.0
29/35 29.0 35.0
6/19 6.0 19.0
1/46 1.0 46.0
2/47 2.0 47.0
14/13 14.0 13.0
6/7 6.0 7.0
33/21 33.0 21.0
13/42 13.0 42.0
39/47 39.0 47.0
14/34 14.0 34.0
15/30 15.0 30.0
26/35 26.0 35.0
19/20 19.0 20.0
36/18 36.0 18.0
27/26 27.0 26.0
17/29 17.0 29.0
37/48 37.0 48.0
37/1 37.0 1.0
38/25 38.0 25.0
16/47 16.0 47.0
31/41 31.0 41.0
20/41 20.0 41.0
40/44 40.0 44.0
24/7 24.0 7.0
35/41 35.0 41.0
24/45 24.0 45.0
39/27 39.0 27.0
7/43 7.0 43.0
33/10 33.0 10.0
18/11 18.0 11.0
17/50 17.0 50.0
25/41 25.0 41.0
7/44 7.0 44.0
41/41 41.0 41.0
13/7 13.0 7.0
44/4 44.0 4.0
39/9 39.0 9.0
39/28 39.0 28.0
17/2 17.0 2.0
30/15 30.0 15.0
36/36 36.0 36.0
41/33 41.0 33.0
35/23 35.0 23.0
15/12 15.0 12.0
12/7 12.0 7.0
27/30 27.0 30.0
34/28 34.0 28.0
22/18 22.0 18.0
48/31 48.0 31.0
34/32 34.0 32.0
25/46 25.0 46.0
43/25 43.0 25.0
47/21 47.0 21.0
13/44 13.0 44.0
36/19 36.0 19.0
41/3 41.0 3.0
46/1 46.0 1.0
26/47 26.0 47.0
29/36 29.0 36.0
13/36 13.0 36.0
3/39 3.0 39.0
15/40 15.0 40.0
22/13 22.0 13.0
9/21 9.0 21.0
43/42 43.0 42.0
47/9 47.0 9.0
1/40 1.0 40.0
36/43 36.0 43.0
17/19 17.0 19.0
42/49 42.0 49.0
15/2 15.0 2.0
48/25 48.0 25.0
8/16 8.0 16.0
32/27 32.0 27.0
22/7 22.0 7.0
14/4 14.0 4.0
2/8 2.0 8.0
47/13 47.0 13.0
30/36 30.0 36.0
40/13 40.0 13.0
17/42 17.0 42.0
21/42 21.0 42.0
23/29 23.0 29.0
9/31 9.0 31.0
33/31 33.0 31.0
7/47 7.0 47.0
19/27 19.0 27.0
12/40 12.0 40.0
20/4 20.0 4.0
18/20 18.0 20.0
24/30 24.0 30.0
24/6 24.0 6.0
49/8 49.0 8.0
48/27 48.0 27.0
32/37 32.0 37.0
30/41 30.0 41.0
17/6 17.0 6.0
27/15 27.0 15.0
29/12 29.0 12.0
20/21 20.0 21.0
47/20 47.0 20.0
13/15 13.0 15.0
3/26 3.0 26.0
16/21 16.0 21.0
40/24 40.0 24.0
11/22 11.0 22.0
38/9 38.0 9.0
25/38 25.0 38.0
39/22 39.0 22.0
5/44 5.0 44.0
12/43 12.0 43.0
1/29 1.0 29.0
17/35 17.0 35.0
40/11 40.0 11.0
45/42 45.0 42.0
3/16 3.0 16.0
18/18 18.0 18.0
15/4 15.0 4.0
40/47 40.0 47.0
19/50 19.0 50.0
28/48 28.0 48.0
15/28 15.0 28.0
48/13 48.0 13.0
48/15 48.0 15.0
1/32 1.0 32.0
27/11 27.0 11.0
12/38 12.0 38.0
9/8 9.0 8.0
24/23 24.0 23.0
26/17 26.0 17.0
14/43 14.0 43.0
50/31 50.0 31.0
14/28 14.0 28.0
32/29 32.0 29.0
3/35 3.0 35.0
24/11 24.0 11.0
43/17 43.0 17.0
