1029 2688
19/29 19.0 29.0
16/17 16.0 17.0
34/28 34.0 28.0
18/10 18.0 10.0
38/27 38.0 27.0
2/2 2.0 2.0
17/17 17.0 17.0
16/14 16.0 14.0
1/12 1.0 12.0
23/26 23.0 26.0
34/5 34.0 5.0
27/22 27.0 22.0
19/15 19.0 15.0
36/10 36.0 10.0
17/22 17.0 22.0
37/21 37.0 21.0
34/15 34.0 15.0
25/19 25.0 19.0
11/8 11.0 8.0
21/23 21.0 23.0
3/19 3.0 19.0
28/19 28.0 19.0
15/8 15.0 8.0
22/16 22.0 16.0
10/9 10.0 9.0
39/2 39.0 2.0
27/23 27.0 23.0
11/6 11.0 6.0
15/15 15.0 15.0
40/28 40.0 28.0
2/3 2.0 3.0
8/16 8.0 16.0
24/12 24.0 12.0
23/20 23.0 20.0
4/18 4.0 18.0
17/1 17.0 1.0
3/25 3.0 25.0
33/28 33.0 28.0
6/13 6.0 13.0
2/27 2.0 27.0
1/14 1.0 14.0
4/22 4.0 22.0
35/12 35.0 12.0
13/18 13.0 18.0
24/16 24.0 16.0
35/25 35.0 25.0
19/30 19.0 30.0
23/1 23.0 1.0
3/10 3.0 10.0
16/1 16.0 1.0
30/2 30.0 2.0
32/23 32.0 23.0
10/1 10.0 1.0
11/12 11.0 12.0
40/30 40.0 30.0
12/8 12.0 8.0
34/27 34.0 27.0
37/29 37.0 29.0
14/26 14.0 26.0
30/18 30.0 18.0
27/11 27.0 11.0
33/16 33.0 16.0
30/17 30.0 17.0
17/24 17.0 24.0
2/26 2.0 26.0
33/14 33.0 14.0
33/11 33.0 11.0
14/9 14.0 9.0
20/16 20.0 16.0
34/21 34.0 21.0
5/29 5.0 29.0
2/29 2.0 29.0
11/7 11.0 7.0
6/23 6.0 23.0
16/9 16.0 9.0
25/12 25.0 12.0
37/8 37.0 8.0
12/26 12.0 26.0
26/15 26.0 15.0
32/10 32.0 10.0
40/7 40.0 7.0
28/15 28.0 15.0
6/7 6.0 7.0
12/29 12.0 29.0
17/9 17.0 9.0
4/9 4.0 9.0
35/14 35.0 14.0
40/25 40.0 25.0
39/30 39.0 30.0
1/6 1.0 6.0
6/29 6.0 29.0
37/4 37.0 4.0
22/21 22.0 21.0
3/13 3.0 13.0
14/30 14.0 30.0
21/18 21.0 18.0
37/5 37.0 5.0
32/9 32.0 9.0
4/3 4.0 3.0
4/23 4.0 23.0
34/24 34.0 24.0
33/26 33.0 26.0
30/5 30.0 5.0
30/9 30.0 9.0
24/28 24.0 28.0
37/7 37.0 7.0
10/19 10.0 19.0
1/23 1.0 23.0
33/19 33.0 19.0
18/9 18.0 9.0
19/9 19.0 9.0
7/22 7.0 22.0
10/10 10.0 10.0
24/21 24.0 21.0
27/30 27.0 30.0
37/18 37.0 18.0
7/26 7.0 26.0
28/7 28.0 7.0
2/1 2.0 1.0
9/18 9.0 18.0
16/15 16.0 15.0
1/29 1.0 29.0
22/18 22.0 18.0
37/11 37.0 11.0
15/29 15.0 29.0
30/19 30.0 19.0
3/5 3.0 5.0
24/13 24.0 13.0
11/30 11.0 30.0
3/6 3.0 6.0
18/19 18.0 19.0
39/8 39.0 8.0
20/21 20.0 21.0
30/7 30.0 7.0
11/19 11.0 19.0
19/27 19.0 27.0
5/28 5.0 28.0
25/24 25.0 24.0
12/14 12.0 14.0
5/1 5.0 1.0
26/11 26.0 11.0
23/10 23.0 10.0
14/1 14.0 1.0
32/16 32.0 16.0
1/1 1.0 1.0
11/10 11.0 10.0
24/10 24.0 10.0
13/19 13.0 19.0
5/8 5.0 8.0
32/13 32.0 13.0
38/18 38.0 18.0
17/4 17.0 4.0
20/10 20.0 10.0
10/6 10.0 6.0
25/11 25.0 11.0
23/28 23.0 28.0
32/7 32.0 7.0
3/4 3.0 4.0
6/26 6.0 26.0
5/21 5.0 21.0
14/4 14.0 4.0
13/29 13.0 29.0
36/29 36.0 29.0
29/21 29.0 21.0
21/19 21.0 19.0
40/27 40.0 27.0
3/7 3.0 7.0
24/2 24.0 2.0
24/3 24.0 3.0
13/30 13.0 30.0
3/30 3.0 30.0
23/9 23.0 9.0
29/10 29.0 10.0
7/11 7.0 11.0
1/24 1.0 24.0
5/6 5.0 6.0
33/25 33.0 25.0
36/1 36.0 1.0
23/24 23.0 24.0
27/29 27.0 29.0
8/28 8.0 28.0
33/21 33.0 21.0
4/30 4.0 30.0
2/7 2.0 7.0
18/25 18.0 25.0
29/3 29.0 3.0
8/29 8.0 29.0
21/24 21.0 24.0
30/13 30.0 13.0
30/28 30.0 28.0
26/20 26.0 20.0
26/24 26.0 24.0
4/11 4.0 11.0
23/29 23.0 29.0
23/13 23.0 13.0
25/10 25.0 10.0
36/15 36.0 15.0
7/3 7.0 3.0
28/13 28.0 13.0
32/19 32.0 19.0
35/17 35.0 17.0
6/21 6.0 21.0
29/16 29.0 16.0
20/17 20.0 17.0
31/15 31.0 15.0
29/2 29.0 2.0
30/25 30.0 25.0
31/16 31.0 16.0
32/27 32.0 27.0
35/5 35.0 5.0
31/14 31.0 14.0
33/3 33.0 3.0
17/29 17.0 29.0
28/29 28.0 29.0
34/30 34.0 30.0
23/11 23.0 11.0
27/1 27.0 1.0
15/30 15.0 30.0
34/6 34.0 6.0
4/7 4.0 7.0
8/4 8.0 4.0
4/29 4.0 29.0
6/10 6.0 10.0
29/1 29.0 1.0
39/26 39.0 26.0
23/25 23.0 25.0
35/3 35.0 3.0
3/17 3.0 17.0
6/1 6.0 1.0
25/28 25.0 28.0
40/20 40.0 20.0
14/19 14.0 19.0
9/6 9.0 6.0
2/24 2.0 24.0
32/3 32.0 3.0
16/24 16.0 24.0
40/4 40.0 4.0
28/24 28.0 24.0
8/13 8.0 13.0
23/2 23.0 2.0
34/16 34.0 16.0
29/15 29.0 15.0
15/5 15.0 5.0
4/12 4.0 12.0
10/14 10.0 14.0
36/17 36.0 17.0
11/29 11.0 29.0
20/12 20.0 12.0
3/20 3.0 20.0
21/22 21.0 22.0
28/20 28.0 20.0
18/17 18.0 17.0
10/26 10.0 26.0
30/1 30.0 1.0
35/27 35.0 27.0
38/4 38.0 4.0
2/6 2.0 6.0
27/15 27.0 15.0
39/10 39.0 10.0
2/12 2.0 12.0
2/14 2.0 14.0
3/3 3.0 3.0
39/14 39.0 14.0
6/11 6.0 11.0
35/13 35.0 13.0
20/1 20.0 1.0
21/28 21.0 28.0
28/30 28.0 30.0
12/28 12.0 28.0
29/25 29.0 25.0
39/23 39.0 23.0
29/26 29.0 26.0
15/7 15.0 7.0
32/1 32.0 1.0
37/3 37.0 3.0
21/9 21.0 9.0
31/10 31.0 10.0
28/11 28.0 11.0
25/13 25.0 13.0
