1485 3005
29/1 29.0 1.0
31/37 31.0 37.0
18/40 18.0 40.0
7/26 7.0 26.0
26/20 26.0 20.0
23/6 23.0 6.0
25/17 25.0 17.0
4/9 4.0 9.0
23/14 23.0 14.0
20/18 20.0 18.0
34/14 34.0 14.0
33/6 33.0 6.0
23/17 23.0 17.0
6/22 6.0 22.0
40/17 40.0 17.0
33/30 33.0 30.0
20/28 20.0 28.0
20/34 20.0 34.0
31/32 31.0 32.0
29/8 29.0 8.0
16/19 16.0 19.0
30/12 30.0 12.0
9/25 9.0 25.0
1/16 1.0 16.0
11/4 11.0 4.0
27/25 27.0 25.0
7/39 7.0 39.0
6/18 6.0 18.0
23/5 23.0 5.0
26/15 26.0 15.0
32/23 32.0 23.0
30/13 30.0 13.0
24/32 24.0 32.0
5/10 5.0 10.0
16/26 16.0 26.0
27/4 27.0 4.0
22/3 22.0 3.0
3/1 3.0 1.0
22/31 22.0 31.0
31/18 31.0 18.0
24/10 24.0 10.0
31/17 31.0 17.0
23/40 23.0 40.0
28/30 28.0 30.0
29/24 29.0 24.0
40/10 40.0 10.0
2/33 2.0 33.0
9/16 9.0 16.0
40/16 40.0 16.0
27/40 27.0 40.0
24/25 24.0 25.0
32/8 32.0 8.0
26/27 26.0 27.0
39/3 39.0 3.0
1/39 1.0 39.0
12/35 12.0 35.0
23/38 23.0 38.0
3/8 3.0 8.0
8/20 8.0 20.0
29/6 29.0 6.0
13/15 13.0 15.0
23/16 23.0 16.0
20/16 20.0 16.0
6/35 6.0 35.0
6/39 6.0 39.0
37/37 37.0 37.0
26/4 26.0 4.0
12/4 12.0 4.0
18/5 18.0 5.0
9/20 9.0 20.0
32/2 32.0 2.0
30/24 30.0 24.0
35/12 35.0 12.0
28/24 28.0 24.0
32/40 32.0 40.0
16/7 16.0 7.0
7/10 7.0 10.0
10/17 10.0 17.0
3/34 3.0 34.0
9/32 9.0 32.0
20/22 20.0 22.0
24/27 24.0 27.0
15/26 15.0 26.0
9/9 9.0 9.0
7/9 7.0 9.0
39/11 39.0 11.0
35/20 35.0 20.0
37/29 37.0 29.0
6/26 6.0 26.0
22/25 22.0 25.0
4/37 4.0 37.0
4/1 4.0 1.0
24/24 24.0 24.0
29/11 29.0 11.0
5/16 5.0 16.0
33/23 33.0 23.0
22/35 22.0 35.0
16/8 16.0 8.0
24/16 24.0 16.0
25/1 25.0 1.0
27/31 27.0 31.0
19/32 19.0 32.0
32/9 32.0 9.0
7/14 7.0 14.0
8/22 8.0 22.0
34/12 34.0 12.0
15/31 15.0 31.0
31/26 31.0 26.0
33/24 33.0 24.0
3/31 3.0 31.0
