4743 12146
12/33 12.0 33.0
6/66 6.0 66.0
15/15 15.0 15.0
38/5 38.0 5.0
8/45 8.0 45.0
35/70 35.0 70.0
8/9 8.0 9.0
54/66 54.0 66.0
69/23 69.0 23.0
57/16 57.0 16.0
21/17 21.0 17.0
43/10 43.0 10.0
11/49 11.0 49.0
15/66 15.0 66.0
32/34 32.0 34.0
17/45 17.0 45.0
5/2 5.0 2.0
30/47 30.0 47.0
33/70 33.0 70.0
44/45 44.0 45.0
67/24 67.0 24.0
2/65 2.0 65.0
71/9 71.0 9.0
24/46 24.0 46.0
7/57 7.0 57.0
21/66 21.0 66.0
57/28 57.0 28.0
57/12 57.0 12.0
16/21 16.0 21.0
40/45 40.0 45.0
32/29 32.0 29.0
48/60 48.0 60.0
8/14 8.0 14.0
42/28 42.0 28.0
42/47 42.0 47.0
22/29 22.0 29.0
68/35 68.0 35.0
64/12 64.0 12.0
23/65 23.0 65.0
51/64 51.0 64.0
24/24 24.0 24.0
46/22 46.0 22.0
46/40 46.0 40.0
49/55 49.0 55.0
46/54 46.0 54.0
61/46 61.0 46.0
53/9 53.0 9.0
41/35 41.0 35.0
44/48 44.0 48.0
56/46 56.0 46.0
11/8 11.0 8.0
38/66 38.0 66.0
27/69 27.0 69.0
48/65 48.0 65.0
26/25 26.0 25.0
19/7 19.0 7.0
43/47 43.0 47.0
16/55 16.0 55.0
48/44 48.0 44.0
68/43 68.0 43.0
4/62 4.0 62.0
69/17 69.0 17.0
13/37 13.0 37.0
63/57 63.0 57.0
65/5 65.0 5.0
4/27 4.0 27.0
16/17 16.0 17.0
14/71 14.0 71.0
28/53 28.0 53.0
22/69 22.0 69.0
19/42 19.0 42.0
18/54 18.0 54.0
42/10 42.0 10.0
66/33 66.0 33.0
5/65 5.0 65.0
50/29 50.0 29.0
7/33 7.0 33.0
8/38 8.0 38.0
14/43 14.0 43.0
22/64 22.0 64.0
71/17 71.0 17.0
10/7 10.0 7.0
3/71 3.0 71.0
10/34 10.0 34.0
54/44 54.0 44.0
52/31 52.0 31.0
16/71 16.0 71.0
67/34 67.0 34.0
5/10 5.0 10.0
5/62 5.0 62.0
69/49 69.0 49.0
19/46 19.0 46.0
54/61 54.0 61.0
3/15 3.0 15.0
23/5 23.0 5.0
65/29 65.0 29.0
33/1 33.0 1.0
53/29 53.0 29.0
33/22 33.0 22.0
67/14 67.0 14.0
6/52 6.0 52.0
64/15 64.0 15.0
21/20 21.0 20.0
18/29 18.0 29.0
33/46 33.0 46.0
71/3 71.0 3.0
40/30 40.0 30.0
49/9 49.0 9.0
38/3 38.0 3.0
69/33 69.0 33.0
23/13 23.0 13.0
15/31 15.0 31.0
28/52 28.0 52.0
6/55 6.0 55.0
45/67 45.0 67.0
36/20 36.0 20.0
46/32 46.0 32.0
55/56 55.0 56.0
64/45 64.0 45.0
57/19 57.0 19.0
42/68 42.0 68.0
64/35 64.0 35.0
46/45 46.0 45.0
17/35 17.0 35.0
54/7 54.0 7.0
69/18 69.0 18.0
40/42 40.0 42.0
5/4 5.0 4.0
51/2 51.0 2.0
21/61 21.0 61.0
55/17 55.0 17.0
55/70 55.0 70.0
28/67 28.0 67.0
71/64 71.0 64.0
12/48 12.0 48.0
37/61 37.0 61.0
71/7 71.0 7.0
7/49 7.0 49.0
11/3 11.0 3.0
20/64 20.0 64.0
71/60 71.0 60.0
37/20 37.0 20.0
1/1 1.0 1.0
40/60 40.0 60.0
9/2 9.0 2.0
13/51 13.0 51.0
20/51 20.0 51.0
30/64 30.0 64.0
47/38 47.0 38.0
29/9 29.0 9.0
17/34 17.0 34.0
57/23 57.0 23.0
59/20 59.0 20.0
67/19 67.0 19.0
33/38 33.0 38.0
35/47 35.0 47.0
42/41 42.0 41.0
12/17 12.0 17.0
37/26 37.0 26.0
7/47 7.0 47.0
24/3 24.0 3.0
24/60 24.0 60.0
31/9 31.0 9.0
14/30 14.0 30.0
36/67 36.0 67.0
55/8 55.0 8.0
40/35 40.0 35.0
30/16 30.0 16.0
61/50 61.0 50.0
48/58 48.0 58.0
13/60 13.0 60.0
39/33 39.0 33.0
26/45 26.0 45.0
11/53 11.0 53.0
1/66 1.0 66.0
18/38 18.0 38.0
34/37 34.0 37.0
34/21 34.0 21.0
60/34 60.0 34.0
11/45 11.0 45.0
58/5 58.0 5.0
32/21 32.0 21.0
21/7 21.0 7.0
67/2 67.0 2.0
19/16 19.0 16.0
11/13 11.0 13.0
12/66 12.0 66.0
62/38 62.0 38.0
70/54 70.0 54.0
20/56 20.0 56.0
35/7 35.0 7.0
52/68 52.0 68.0
61/36 61.0 36.0
49/68 49.0 68.0
54/28 54.0 28.0
30/3 30.0 3.0
26/13 26.0 13.0
10/56 10.0 56.0
3/58 3.0 58.0
28/5 28.0 5.0
26/44 26.0 44.0
10/57 10.0 57.0
4/44 4.0 44.0
54/59 54.0 59.0
8/13 8.0 13.0
58/13 58.0 13.0
60/23 60.0 23.0
20/31 20.0 31.0
69/56 69.0 56.0
40/58 40.0 58.0
9/71 9.0 71.0
24/16 24.0 16.0
7/60 7.0 60.0
61/52 61.0 52.0
46/58 46.0 58.0
47/63 47.0 63.0
37/52 37.0 52.0
48/28 48.0 28.0
15/21 15.0 21.0
53/38 53.0 38.0
55/13 55.0 13.0
56/34 56.0 34.0
18/71 18.0 71.0
27/63 27.0 63.0
63/64 63.0 64.0
7/7 7.0 7.0
45/39 45.0 39.0
33/52 33.0 52.0
23/55 23.0 55.0
62/9 62.0 9.0
45/11 45.0 11.0
23/25 23.0 25.0
48/1 48.0 1.0
71/29 71.0 29.0
8/60 8.0 60.0
29/44 29.0 44.0
70/14 70.0 14.0
38/43 38.0 43.0
65/71 65.0 71.0
23/7 23.0 7.0
34/27 34.0 27.0
58/31 58.0 31.0
69/42 69.0 42.0
71/6 71.0 6.0
62/37 62.0 37.0
67/9 67.0 9.0
15/55 15.0 55.0
34/71 34.0 71.0
67/58 67.0 58.0
69/30 69.0 30.0
34/36 34.0 36.0
5/53 5.0 53.0
52/70 52.0 70.0
59/62 59.0 62.0
61/53 61.0 53.0
54/60 54.0 60.0
30/67 30.0 67.0
1/53 1.0 53.0
43/49 43.0 49.0
19/65 19.0 65.0
35/23 35.0 23.0
3/43 3.0 43.0
17/50 17.0 50.0
19/36 19.0 36.0
31/67 31.0 67.0
18/17 18.0 17.0
26/26 26.0 26.0
32/61 32.0 61.0
22/55 22.0 55.0
7/66 7.0 66.0
43/66 43.0 66.0
48/57 48.0 57.0
70/56 70.0 56.0
25/66 25.0 66.0
66/42 66.0 42.0
4/33 4.0 33.0
39/50 39.0 50.0
48/43 48.0 43.0
17/6 17.0 6.0
4/10 4.0 10.0
18/58 18.0 58.0
58/39 58.0 39.0
31/4 31.0 4.0
49/26 49.0 26.0
25/63 25.0 63.0
32/27 32.0 27.0
31/6 31.0 6.0
61/30 61.0 30.0
65/43 65.0 43.0
22/68 22.0 68.0
53/33 53.0 33.0
25/58 25.0 58.0
68/67 68.0 67.0
16/51 16.0 51.0
20/59 20.0 59.0
1/8 1.0 8.0
9/60 9.0 60.0
43/53 43.0 53.0
62/12 62.0 12.0
26/67 26.0 67.0
46/12 46.0 12.0
46/68 46.0 68.0
45/58 45.0 58.0
70/40 70.0 40.0
17/3 17.0 3.0
28/46 28.0 46.0
16/61 16.0 61.0
71/49 71.0 49.0
12/16 12.0 16.0
35/2 35.0 2.0
5/52 5.0 52.0
35/8 35.0 8.0
63/26 63.0 26.0
35/1 35.0 1.0
31/5 31.0 5.0
53/62 53.0 62.0
8/5 8.0 5.0
28/60 28.0 60.0
37/16 37.0 16.0
7/45 7.0 45.0
66/17 66.0 17.0
27/12 27.0 12.0
19/59 19.0 59.0
43/30 43.0 30.0
19/40 19.0 40.0
19/38 19.0 38.0
37/12 37.0 12.0
4/8 4.0 8.0
18/25 18.0 25.0
25/68 25.0 68.0
51/53 51.0 53.0
44/50 44.0 50.0
70/30 70.0 30.0
34/61 34.0 61.0
1/29 1.0 29.0
43/13 43.0 13.0
33/41 33.0 41.0
8/51 8.0 51.0
56/70 56.0 70.0
