11467 29342
13/60 13.0 60.0
31/61 31.0 61.0
63/47 63.0 47.0
82/44 82.0 44.0
34/70 34.0 70.0
20/74 20.0 74.0
79/54 79.0 54.0
4/2 4.0 2.0
58/103 58.0 103.0
27/8 27.0 8.0
68/32 68.0 32.0
44/33 44.0 33.0
105/34 105.0 34.0
2/3 2.0 3.0
100/74 100.0 74.0
82/33 82.0 33.0
90/81 90.0 81.0
54/73 54.0 73.0
85/91 85.0 91.0
25/98 25.0 98.0
68/1 68.0 1.0
95/48 95.0 48.0
93/60 93.0 60.0
71/44 71.0 44.0
70/25 70.0 25.0
25/96 25.0 96.0
86/79 86.0 79.0
26/52 26.0 52.0
76/81 76.0 81.0
17/87 17.0 87.0
23/1 23.0 1.0
9/17 9.0 17.0
62/105 62.0 105.0
82/13 82.0 13.0
92/83 92.0 83.0
74/108 74.0 108.0
84/8 84.0 8.0
61/46 61.0 46.0
109/18 109.0 18.0
106/105 106.0 105.0
104/64 104.0 64.0
91/78 91.0 78.0
42/26 42.0 26.0
93/26 93.0 26.0
84/70 84.0 70.0
1/35 1.0 35.0
47/60 47.0 60.0
6/77 6.0 77.0
31/2 31.0 2.0
102/23 102.0 23.0
111/8 111.0 8.0
89/72 89.0 72.0
105/12 105.0 12.0
64/110 64.0 110.0
56/3 56.0 3.0
41/88 41.0 88.0
77/52 77.0 52.0
32/11 32.0 11.0
87/12 87.0 12.0
91/95 91.0 95.0
18/71 18.0 71.0
6/86 6.0 86.0
19/94 19.0 94.0
7/64 7.0 64.0
43/108 43.0 108.0
62/62 62.0 62.0
16/66 16.0 66.0
12/78 12.0 78.0
111/19 111.0 19.0
21/53 21.0 53.0
89/87 89.0 87.0
22/38 22.0 38.0
64/88 64.0 88.0
40/90 40.0 90.0
78/10 78.0 10.0
22/80 22.0 80.0
14/110 14.0 110.0
4/105 4.0 105.0
97/43 97.0 43.0
78/28 78.0 28.0
64/57 64.0 57.0
45/40 45.0 40.0
26/88 26.0 88.0
32/109 32.0 109.0
102/108 102.0 108.0
62/45 62.0 45.0
75/23 75.0 23.0
52/28 52.0 28.0
23/63 23.0 63.0
6/14 6.0 14.0
5/49 5.0 49.0
103/109 103.0 109.0
14/74 14.0 74.0
6/36 6.0 36.0
40/81 40.0 81.0
56/64 56.0 64.0
16/55 16.0 55.0
71/111 71.0 111.0
88/75 88.0 75.0
21/55 21.0 55.0
86/71 86.0 71.0
87/68 87.0 68.0
10/87 10.0 87.0
64/69 64.0 69.0
69/18 69.0 18.0
34/1 34.0 1.0
69/10 69.0 10.0
92/11 92.0 11.0
82/38 82.0 38.0
43/103 43.0 103.0
48/79 48.0 79.0
60/68 60.0 68.0
25/101 25.0 101.0
33/4 33.0 4.0
102/47 102.0 47.0
16/52 16.0 52.0
92/30 92.0 30.0
66/16 66.0 16.0
15/13 15.0 13.0
67/91 67.0 91.0
108/69 108.0 69.0
52/49 52.0 49.0
19/72 19.0 72.0
33/82 33.0 82.0
97/64 97.0 64.0
26/68 26.0 68.0
38/47 38.0 47.0
60/30 60.0 30.0
51/36 51.0 36.0
10/36 10.0 36.0
43/73 43.0 73.0
92/101 92.0 101.0
3/32 3.0 32.0
83/43 83.0 43.0
64/106 64.0 106.0
100/9 100.0 9.0
46/96 46.0 96.0
104/20 104.0 20.0
78/82 78.0 82.0
93/54 93.0 54.0
65/50 65.0 50.0
71/54 71.0 54.0
19/9 19.0 9.0
5/105 5.0 105.0
38/79 38.0 79.0
89/108 89.0 108.0
31/98 31.0 98.0
1/19 1.0 19.0
46/33 46.0 33.0
108/56 108.0 56.0
45/35 45.0 35.0
92/78 92.0 78.0
57/19 57.0 19.0
18/39 18.0 39.0
45/21 45.0 21.0
70/1 70.0 1.0
3/106 3.0 106.0
60/12 60.0 12.0
111/100 111.0 100.0
28/103 28.0 103.0
48/71 48.0 71.0
60/29 60.0 29.0
19/30 19.0 30.0
90/25 90.0 25.0
70/89 70.0 89.0
63/96 63.0 96.0
34/35 34.0 35.0
77/76 77.0 76.0
1/73 1.0 73.0
23/26 23.0 26.0
48/35 48.0 35.0
56/79 56.0 79.0
10/88 10.0 88.0
73/94 73.0 94.0
5/5 5.0 5.0
26/54 26.0 54.0
36/101 36.0 101.0
60/72 60.0 72.0
65/8 65.0 8.0
27/101 27.0 101.0
