2371 5596
8/24 8.0 24.0
12/6 12.0 6.0
8/47 8.0 47.0
16/38 16.0 38.0
43/29 43.0 29.0
47/16 47.0 16.0
22/12 22.0 12.0
24/1 24.0 1.0
27/7 27.0 7.0
33/42 33.0 42.0
32/49 32.0 49.0
17/4 17.0 4.0
25/26 25.0 26.0
8/43 8.0 43.0
30/37 30.0 37.0
45/6 45.0 6.0
29/43 29.0 43.0
36/17 36.0 17.0
7/9 7.0 9.0
12/12 12.0 12.0
8/26 8.0 26.0
44/10 44.0 10.0
24/43 24.0 43.0
28/43 28.0 43.0
48/28 48.0 28.0
2/36 2.0 36.0
9/30 9.0 30.0
22/38 22.0 38.0
49/32 49.0 32.0
38/26 38.0 26.0
51/41 51.0 41.0
27/49 27.0 49.0
27/18 27.0 18.0
2/26 2.0 26.0
8/39 8.0 39.0
46/3 46.0 3.0
7/3 7.0 3.0
22/50 22.0 50.0
1/51 1.0 51.0
48/1 48.0 1.0
51/35 51.0 35.0
35/23 35.0 23.0
47/33 47.0 33.0
24/26 24.0 26.0
37/9 37.0 9.0
44/49 44.0 49.0
32/23 32.0 23.0
9/47 9.0 47.0
45/14 45.0 14.0
20/13 20.0 13.0
8/12 8.0 12.0
24/18 24.0 18.0
40/2 40.0 2.0
3/36 3.0 36.0
51/43 51.0 43.0
11/18 11.0 18.0
18/48 18.0 48.0
27/17 27.0 17.0
3/32 3.0 32.0
47/30 47.0 30.0
13/1 13.0 1.0
28/24 28.0 24.0
27/6 27.0 6.0
16/22 16.0 22.0
33/46 33.0 46.0
39/14 39.0 14.0
11/31 11.0 31.0
18/47 18.0 47.0
22/2 22.0 2.0
35/39 35.0 39.0
4/1 4.0 1.0
10/48 10.0 48.0
46/6 46.0 6.0
32/47 32.0 47.0
47/15 47.0 15.0
25/45 25.0 45.0
41/15 41.0 15.0
5/2 5.0 2.0
23/28 23.0 28.0
28/15 28.0 15.0
44/28 44.0 28.0
45/12 45.0 12.0
15/1 15.0 1.0
15/12 15.0 12.0
47/13 47.0 13.0
7/30 7.0 30.0
39/45 39.0 45.0
11/6 11.0 6.0
18/50 18.0 50.0
15/44 15.0 44.0
25/31 25.0 31.0
43/27 43.0 27.0
17/45 17.0 45.0
4/37 4.0 37.0
34/24 34.0 24.0
35/12 35.0 12.0
11/46 11.0 46.0
14/43 14.0 43.0
17/49 17.0 49.0
27/24 27.0 24.0
22/32 22.0 32.0
