1432 3484
30/16 30.0 16.0
32/40 32.0 40.0
13/10 13.0 10.0
33/38 33.0 38.0
40/15 40.0 15.0
17/41 17.0 41.0
27/20 27.0 20.0
3/19 3.0 19.0
5/5 5.0 5.0
18/38 18.0 38.0
25/27 25.0 27.0
40/29 40.0 29.0
19/25 19.0 25.0
35/23 35.0 23.0
20/4 20.0 4.0
34/10 34.0 10.0
13/2 13.0 2.0
17/25 17.0 25.0
30/36 30.0 36.0
37/32 37.0 32.0
36/3 36.0 3.0
12/10 12.0 10.0
17/12 17.0 12.0
38/16 38.0 16.0
4/10 4.0 10.0
37/1 37.0 1.0
5/39 5.0 39.0
18/39 18.0 39.0
19/21 19.0 21.0
15/35 15.0 35.0
35/8 35.0 8.0
22/24 22.0 24.0
39/18 39.0 18.0
1/10 1.0 10.0
33/2 33.0 2.0
16/23 16.0 23.0
14/11 14.0 11.0
21/33 21.0 33.0
34/28 34.0 28.0
10/31 10.0 31.0
15/34 15.0 34.0
26/27 26.0 27.0
24/29 24.0 29.0
9/39 9.0 39.0
38/4 38.0 4.0
26/39 26.0 39.0
35/28 35.0 28.0
36/29 36.0 29.0
8/29 8.0 29.0
34/25 34.0 25.0
2/39 2.0 39.0
36/34 36.0 34.0
21/1 21.0 1.0
20/24 20.0 24.0
27/34 27.0 34.0
2/16 2.0 16.0
26/26 26.0 26.0
35/13 35.0 13.0
14/36 14.0 36.0
3/2 3.0 2.0
23/31 23.0 31.0
18/4 18.0 4.0
15/21 15.0 21.0
8/33 8.0 33.0
15/41 15.0 41.0
16/29 16.0 29.0
2/35 2.0 35.0
4/29 4.0 29.0
7/26 7.0 26.0
41/11 41.0 11.0
7/22 7.0 22.0
16/6 16.0 6.0
23/39 23.0 39.0
1/39 1.0 39.0
16/7 16.0 7.0
5/29 5.0 29.0
31/39 31.0 39.0
2/3 2.0 3.0
31/1 31.0 1.0
38/28 38.0 28.0
8/7 8.0 7.0
10/19 10.0 19.0
39/21 39.0 21.0
27/38 27.0 38.0
39/4 39.0 4.0
15/10 15.0 10.0
29/21 29.0 21.0
38/19 38.0 19.0
17/27 17.0 27.0
17/30 17.0 30.0
27/17 27.0 17.0
39/16 39.0 16.0
11/27 11.0 27.0
28/37 28.0 37.0
36/40 36.0 40.0
15/11 15.0 11.0
18/41 18.0 41.0
26/3 26.0 3.0
40/37 40.0 37.0
38/10 38.0 10.0
14/16 14.0 16.0
13/30 13.0 30.0
13/36 13.0 36.0
11/31 11.0 31.0
35/22 35.0 22.0
30/25 30.0 25.0
35/4 35.0 4.0
24/26 24.0 26.0
24/40 24.0 40.0
27/41 27.0 41.0
2/7 2.0 7.0
6/15 6.0 15.0
7/31 7.0 31.0
20/9 20.0 9.0
22/41 22.0 41.0
14/3 14.0 3.0
36/5 36.0 5.0
3/16 3.0 16.0
6/10 6.0 10.0
33/16 33.0 16.0
37/25 37.0 25.0
2/17 2.0 17.0
40/8 40.0 8.0
15/33 15.0 33.0
19/11 19.0 11.0
24/3 24.0 3.0
37/30 37.0 30.0
41/22 41.0 22.0
19/28 19.0 28.0
2/6 2.0 6.0
7/38 7.0 38.0
14/14 14.0 14.0
12/41 12.0 41.0
31/5 31.0 5.0
9/36 9.0 36.0
2/31 2.0 31.0
14/35 14.0 35.0
26/6 26.0 6.0
37/7 37.0 7.0
27/21 27.0 21.0
38/26 38.0 26.0
4/23 4.0 23.0
17/32 17.0 32.0
7/2 7.0 2.0
20/30 20.0 30.0
35/39 35.0 39.0
7/15 7.0 15.0
7/30 7.0 30.0
37/33 37.0 33.0
39/34 39.0 34.0
17/11 17.0 11.0
13/22 13.0 22.0
1/3 1.0 3.0
4/36 4.0 36.0
35/24 35.0 24.0
17/31 17.0 31.0
27/39 27.0 39.0
22/16 22.0 16.0
41/13 41.0 13.0
34/41 34.0 41.0
13/6 13.0 6.0
30/33 30.0 33.0
25/41 25.0 41.0
34/1 34.0 1.0
33/1 33.0 1.0
26/23 26.0 23.0
41/28 41.0 28.0
19/33 19.0 33.0
31/36 31.0 36.0
31/16 31.0 16.0
6/41 6.0 41.0
3/39 3.0 39.0
23/25 23.0 25.0
18/5 18.0 5.0
18/18 18.0 18.0
37/6 37.0 6.0
1/15 1.0 15.0
2/29 2.0 29.0
12/5 12.0 5.0
18/36 18.0 36.0
23/27 23.0 27.0
21/41 21.0 41.0
9/35 9.0 35.0
36/15 36.0 15.0
20/13 20.0 13.0
37/34 37.0 34.0
26/31 26.0 31.0
20/15 20.0 15.0
14/9 14.0 9.0
35/10 35.0 10.0
3/7 3.0 7.0
9/1 9.0 1.0
8/31 8.0 31.0
30/14 30.0 14.0
10/21 10.0 21.0
3/32 3.0 32.0
39/31 39.0 31.0
35/30 35.0 30.0
3/36 3.0 36.0
27/3 27.0 3.0
28/2 28.0 2.0
22/13 22.0 13.0
24/23 24.0 23.0
16/35 16.0 35.0
23/37 23.0 37.0
12/25 12.0 25.0
12/7 12.0 7.0
15/9 15.0 9.0
12/24 12.0 24.0
4/22 4.0 22.0
26/4 26.0 4.0
36/13 36.0 13.0
33/24 33.0 24.0
18/34 18.0 34.0
21/34 21.0 34.0
28/27 28.0 27.0
19/38 19.0 38.0
36/8 36.0 8.0
16/21 16.0 21.0
41/18 41.0 18.0
27/35 27.0 35.0
35/11 35.0 11.0
3/18 3.0 18.0
17/16 17.0 16.0
6/5 6.0 5.0
2/34 2.0 34.0
10/29 10.0 29.0
25/23 25.0 23.0
10/28 10.0 28.0
4/19 4.0 19.0
8/28 8.0 28.0
25/35 25.0 35.0
25/37 25.0 37.0
15/16 15.0 16.0
5/11 5.0 11.0
5/36 5.0 36.0
7/23 7.0 23.0
34/26 34.0 26.0
14/15 14.0 15.0
16/11 16.0 11.0
32/5 32.0 5.0
34/9 34.0 9.0
14/38 14.0 38.0
41/21 41.0 21.0
23/13 23.0 13.0
30/19 30.0 19.0
13/1 13.0 1.0
37/5 37.0 5.0
10/25 10.0 25.0
34/35 34.0 35.0
39/6 39.0 6.0
7/4 7.0 4.0
20/34 20.0 34.0
1/23 1.0 23.0
20/5 20.0 5.0
23/12 23.0 12.0
28/1 28.0 1.0
31/4 31.0 4.0
18/25 18.0 25.0
33/29 33.0 29.0
22/1 22.0 1.0
37/11 37.0 11.0
14/2 14.0 2.0
18/19 18.0 19.0
20/32 20.0 32.0
29/20 29.0 20.0
35/3 35.0 3.0
6/20 6.0 20.0
37/16 37.0 16.0
9/15 9.0 15.0
34/40 34.0 40.0
27/25 27.0 25.0
2/22 2.0 22.0
26/34 26.0 34.0
2/5 2.0 5.0
15/15 15.0 15.0
9/26 9.0 26.0
13/24 13.0 24.0
14/12 14.0 12.0
12/39 12.0 39.0
37/10 37.0 10.0
22/40 22.0 40.0
18/26 18.0 26.0
38/7 38.0 7.0
2/13 2.0 13.0
30/1 30.0 1.0
9/38 9.0 38.0
5/22 5.0 22.0
24/36 24.0 36.0
36/4 36.0 4.0
11/10 11.0 10.0
