335 883
16/5 16.0 5.0
18/5 18.0 5.0
13/13 13.0 13.0
9/12 9.0 12.0
14/8 14.0 8.0
4/3 4.0 3.0
16/4 16.0 4.0
17/6 17.0 6.0
1/12 1.0 12.0
13/7 13.0 7.0
5/20 5.0 20.0
8/16 8.0 16.0
14/7 14.0 7.0
4/6 4.0 6.0
17/5 17.0 5.0
8/11 8.0 11.0
10/9 10.0 9.0
2/15 2.0 15.0
4/10 4.0 10.0
3/6 3.0 6.0
14/13 14.0 13.0
2/14 2.0 14.0
1/1 1.0 1.0
2/13 2.0 13.0
1/10 1.0 10.0
18/11 18.0 11.0
2/16 2.0 16.0
2/2 2.0 2.0
1/9 1.0 9.0
19/2 19.0 2.0
5/16 5.0 16.0
16/14 16.0 14.0
15/2 15.0 2.0
2/9 2.0 9.0
15/19 15.0 19.0
9/8 9.0 8.0
12/19 12.0 19.0
3/7 3.0 7.0
10/6 10.0 6.0
12/14 12.0 14.0
7/10 7.0 10.0
3/1 3.0 1.0
10/4 10.0 4.0
4/1 4.0 1.0
8/7 8.0 7.0
11/12 11.0 12.0
2/10 2.0 10.0
9/20 9.0 20.0
5/5 5.0 5.0
1/19 1.0 19.0
7/15 7.0 15.0
10/5 10.0 5.0
20/14 20.0 14.0
7/6 7.0 6.0
5/4 5.0 4.0
2/4 2.0 4.0
18/12 18.0 12.0
19/3 19.0 3.0
18/6 18.0 6.0
12/18 12.0 18.0
17/1 17.0 1.0
17/18 17.0 18.0
17/9 17.0 9.0
20/8 20.0 8.0
20/6 20.0 6.0
19/13 19.0 13.0
13/19 13.0 19.0
20/9 20.0 9.0
11/8 11.0 8.0
20/1 20.0 1.0
17/4 17.0 4.0
9/6 9.0 6.0
9/3 9.0 3.0
11/3 11.0 3.0
4/20 4.0 20.0
20/2 20.0 2.0
11/5 11.0 5.0
17/16 17.0 16.0
7/13 7.0 13.0
10/19 10.0 19.0
14/18 14.0 18.0
5/2 5.0 2.0
20/20 20.0 20.0
19/7 19.0 7.0
2/1 2.0 1.0
1/17 1.0 17.0
2/11 2.0 11.0
12/3 12.0 3.0
19/15 19.0 15.0
15/7 15.0 7.0
16/10 16.0 10.0
14/11 14.0 11.0
9/11 9.0 11.0
13/18 13.0 18.0
15/12 15.0 12.0
18/9 18.0 9.0
19/20 19.0 20.0
11/9 11.0 9.0
15/18 15.0 18.0
6/20 6.0 20.0
12/5 12.0 5.0
12/6 12.0 6.0
6/5 6.0 5.0
9/7 9.0 7.0
20/3 20.0 3.0
10/18 10.0 18.0
2/7 2.0 7.0
12/13 12.0 13.0
5/8 5.0 8.0
13/1 13.0 1.0
10/10 10.0 10.0
19/6 19.0 6.0
7/16 7.0 16.0
1/16 1.0 16.0
8/4 8.0 4.0
8/9 8.0 9.0
14/10 14.0 10.0
6/13 6.0 13.0
1/2 1.0 2.0
7/12 7.0 12.0
18/19 18.0 19.0
14/20 14.0 20.0
1/18 1.0 18.0
7/8 7.0 8.0
13/20 13.0 20.0
1/3 1.0 3.0
5/15 5.0 15.0
11/1 11.0 1.0
12/2 12.0 2.0
18/20 18.0 20.0
17/11 17.0 11.0
9/1 9.0 1.0
4/14 4.0 14.0
10/13 10.0 13.0
11/6 11.0 6.0
17/8 17.0 8.0
7/7 7.0 7.0
1/15 1.0 15.0
13/3 13.0 3.0
13/5 13.0 5.0
15/8 15.0 8.0
17/14 17.0 14.0
17/7 17.0 7.0
14/2 14.0 2.0
15/4 15.0 4.0
17/2 17.0 2.0
8/8 8.0 8.0
4/17 4.0 17.0
13/14 13.0 14.0
15/6 15.0 6.0
16/7 16.0 7.0
16/11 16.0 11.0
9/10 9.0 10.0
18/15 18.0 15.0
14/3 14.0 3.0
18/2 18.0 2.0
3/16 3.0 16.0
9/14 9.0 14.0
3/4 3.0 4.0
9/13 9.0 13.0
17/3 17.0 3.0
13/12 13.0 12.0
13/6 13.0 6.0
20/10 20.0 10.0
10/20 10.0 20.0
4/11 4.0 11.0
4/4 4.0 4.0
6/9 6.0 9.0
14/19 14.0 19.0
16/8 16.0 8.0
15/11 15.0 11.0
9/15 9.0 15.0
19/11 19.0 11.0
13/15 13.0 15.0
1/7 1.0 7.0
12/1 12.0 1.0
15/1 15.0 1.0
5/13 5.0 13.0
11/10 11.0 10.0
17/12 17.0 12.0
18/13 18.0 13.0
7/9 7.0 9.0
12/11 12.0 11.0
3/14 3.0 14.0
14/6 14.0 6.0
14/5 14.0 5.0
1/8 1.0 8.0
14/12 14.0 12.0
3/15 3.0 15.0
7/1 7.0 1.0
3/20 3.0 20.0
2/3 2.0 3.0
3/2 3.0 2.0
8/14 8.0 14.0
4/8 4.0 8.0
9/4 9.0 4.0
16/13 16.0 13.0
15/20 15.0 20.0
8/5 8.0 5.0
10/3 10.0 3.0
5/7 5.0 7.0
8/15 8.0 15.0
14/14 14.0 14.0
9/19 9.0 19.0
3/17 3.0 17.0
4/19 4.0 19.0
20/13 20.0 13.0
8/6 8.0 6.0
8/10 8.0 10.0
19/4 19.0 4.0
7/2 7.0 2.0
5/18 5.0 18.0
11/20 11.0 20.0
6/19 6.0 19.0
